idx	bytes	total	prose	tables	table_entries	table_arrays	jump_entries	jump_arrays	labels	slabels	olabels	gotos	addr_taken	engine	rungs	prefilter	dfa_table	ncaps	emit_s	err	pattern
1980	20098	35061	14963	0	0	0	0	0	14	0	2	14	1	vm	0x0u	none		3	0.006		^(?:(a)x|(b)y)\1$
1981	20098	35061	14963	0	0	0	0	0	14	0	2	14	1	vm	0x0u	none		3	0.006		^(?:(a)x|(b)y)\2$
1982	19480	34400	14920	0	0	0	0	0	10	0	2	10	1	vm	0x0u	none		2	0.004		^(?:(a)|b)\1$
1983	12308	21765	9457	1717	256	1	9	3	0	3	1	0	0	dfa			none	2	0.006		^(?:(a?)){0}(?1)*b$
1984	27781	47958	20177	1717	256	1	9	3	21	3	3	23	3	vm	0x7u	hybrid	none	2	0.005		^(?:(a?)){1}(?1)*b$
1985	23681	40212	16531	1801	256	1	12	4	15	4	3	15	0	vm	0x0u	hybrid	none	2	0.005		^(?:(a\Kb)){0}(?=(?1))ab$
1986	26165	43834	17669	0	0	0	0	0	23	0	2	23	4	vm	0x3u	none		3	0.007		^(?:(a{2,5}(?1)?b)((?1)c)){0}(?2)$
1987	23024	41742	18718	0	0	0	0	0	15	0	2	16	1	vm	0x4u	none		2	0.004		^(?:(a|b)\1)+$
1988	22899	38974	16075	0	0	0	0	0	26	0	2	35	2	vm	0x8u	none		2	0.006		^(?:(a|b)x)++\1$
1989	23583	42451	18868	0	0	0	0	0	21	0	2	22	3	vm	0x4u	none		2	0.008		^(?:(a|b\1))+$
1990	23902	42772	18870	0	0	0	0	0	23	0	2	24	3	vm	0x4u	none		2	0.005		^(?:(a|b\1)c)+$
1991	23723	42591	18868	0	0	0	0	0	22	0	2	23	3	vm	0x4u	none		2	0.007		^(?:(a|b\1)y)+
1992	28785	46668	17883	0	0	0	0	0	33	0	2	33	6	vm	0x2u	none		4	0.004		^(?:(x(?1)?(?2)y)((?3)m)(t(?3)?u)){0}(?1)$
1993	22988	41702	18714	0	0	0	0	0	15	0	2	16	1	vm	0x4u	none		2	0.006		^(?:\1(a))+$
1994	25334	43103	17769	2097	256	1	30	6	20	6	3	19	1	vm	0x0u	hybrid	none	2	0.006		^(?<!(xy))ab(?1)$
1995	22276	38306	16030	1801	256	1	12	4	9	4	3	9	0	vm	0x0u	hybrid	none	3	0.006		^(?<a>x)(?<A>y)$
1996																			0.004	pcrec: two named subpatterns have the same name (write (?J) before this declaration to allow duplicates) (pattern offset	^(?<a>x)(?<a>y)$
1997																			0.004	pcrec: two named subpatterns have the same name (write (?J) before this declaration to allow duplicates) (pattern offset	^(?<a>x)(?<a>y)(?J)$
1998	22329	38376	16047	1801	256	1	12	4	10	4	3	10	0	vm	0x0u	hybrid	none	3	0.003		^(?<a>x)(?J)(?<a>y)$
1999	19285	34140	14855	0	0	0	0	0	7	0	2	7	0	vm	0x0u	none		2	0.004		^(?<a_1>x)\k<a_1>$
2000	25790	42757	16967	1965	256	1	18	6	20	6	3	20	0	vm	0x2u	hybrid	none	2	0.006		^(?<g>a)(?&g){2}b$
2001	25791	42760	16969	1965	256	1	18	6	20	6	3	20	0	vm	0x2u	hybrid	none	2	0.007		^(?<g>a)(?P>g){2}b$
2002	25790	42757	16967	1965	256	1	18	6	20	6	3	20	0	vm	0x2u	hybrid	none	2	0.003		^(?<g>a)\g'g'{2}b$
2003	25790	42757	16967	1965	256	1	18	6	20	6	3	20	0	vm	0x2u	hybrid	none	2	0.006		^(?<g>a)\g<g>{2}b$
2004																			0.004	pcrec: subpattern name expected after (?P=) (pattern offset 8)	^(?<n>a)(?P=)$
2005	19279	34128	14849	0	0	0	0	0	7	0	2	7	0	vm	0x0u	none		2	0.007		^(?<n>a)(?P=n)$
2006																			0.005	pcrec: (?P=q) refers to a capture group named 'q', which this pattern does not declare (pattern offset 8)	^(?<n>a)(?P=q)$
2007	19278	34125	14847	0	0	0	0	0	7	0	2	7	0	vm	0x0u	none		2	0.007		^(?<n>a)\k'n'$
2008																			0.005	pcrec: subpattern name expected after \k<> (pattern offset 8)	^(?<n>a)\k<>$
2009																			0.006	pcrec: missing closing > after \k< (pattern offset 8)	^(?<n>a)\k<n$
2010	19278	34125	14847	0	0	0	0	0	7	0	2	7	0	vm	0x0u	none		2	0.003		^(?<n>a)\k<n>$
2011																			0.003	pcrec: \k must be followed by a name in <>, '' or {} (pattern offset 8)	^(?<n>a)\kn$
2012	19280	34131	14851	0	0	0	0	0	7	0	2	7	0	vm	0x0u	none		2	0.003		^(?<n>a)\k{ n }$
2013	19278	34125	14847	0	0	0	0	0	7	0	2	7	0	vm	0x0u	none		2	0.003		^(?<n>a)\k{n}$
2014	23033	39150	16117	1757	256	1	8	4	11	4	3	11	0	vm	0x0u	hybrid	none	2	0.005		^(?<n>a|b)(?&n)$
2015																			0.003	pcrec: (?&nope) refers to a capture group named 'nope', which this pattern does not declare (pattern offset 8)	^(?<w>a)(?&nope)$
2016																			0.006	pcrec: (?P>nope) refers to a capture group named 'nope', which this pattern does not declare (pattern offset 8)	^(?<w>a)(?P>nope)$
2017																			0.005	pcrec: \g'nope' refers to a capture group named 'nope', which this pattern does not declare (pattern offset 8)	^(?<w>a)\g'nope'$
2018																			0.010	pcrec: \g<nope> refers to a capture group named 'nope', which this pattern does not declare (pattern offset 8)	^(?<w>a)\g<nope>$
2019	23033	39150	16117	1757	256	1	8	4	11	4	3	11	0	vm	0x0u	hybrid	none	2	0.002		^(?<w>a|b)(?&w)$
2020	23034	39153	16119	1757	256	1	8	4	11	4	3	11	0	vm	0x0u	hybrid	none	2	0.003		^(?<w>a|b)(?P>w)$
2021	23033	39150	16117	1757	256	1	8	4	11	4	3	11	0	vm	0x0u	hybrid	none	2	0.006		^(?<w>a|b)\g'w'$
2022	23033	39150	16117	1757	256	1	8	4	11	4	3	11	0	vm	0x0u	hybrid	none	2	0.008		^(?<w>a|b)\g<w>$
2023	19297	34148	14851	0	0	0	0	0	7	0	2	7	0	vm	0x0u	none		2	0.009		^(?<w>a|b)\k<w>$
2024	26983	43404	16421	2986	256	1	84	12	15	12	3	15	0	vm	0x1u	hybrid	none	2	0.005		^(?<w>foo)?+(?&w)-bar$
2025	25152	44984	19832	1686	256	1	6	3	12	3	3	14	1	vm	0x4u	hybrid	none	2	0.009		^(?=(a))*a$
2026	25152	44984	19832	1686	256	1	6	3	12	3	3	14	1	vm	0x4u	hybrid	none	2	0.005		^(?=(a))*b$
2027	25776	42341	16565	2254	288	2	24	6	23	6	3	23	2	vm	0x0u	hybrid	none	2	0.004		^(?=(a|ab))..(?1)$
2028	24846	44633	19787	1686	256	1	6	3	10	3	3	12	1	vm	0x4u	hybrid	none	1	0.007		^(?=a)*a$
2029																			0.005	pcrec: \K is not allowed inside a lookaround (pattern offset 1)	^(?=a\Kb)ab$
2030	20241	35336	15095	0	0	0	0	0	11	0	2	11	0	vm	0x1u	none		2	0.008		^(?>(a+))b\1a$
2031	25609	42168	16559	2301	256	1	40	8	23	8	3	23	2	vm	0x0u	hybrid	none	2	0.006		^(?>(a|ab))z(?1)c$
2032	24414	40856	16442	2301	256	1	40	8	19	8	3	19	2	vm	0x0u	hybrid	none	2	0.007		^(?>(a|ab))z(?:a|ab)c$
2033	24185	40498	16313	1936	256	1	20	5	18	5	3	18	1	vm	0x0u	hybrid	none	3	0.007		^(?J)(?:(?<a>x)|q)(?<a>y)(?&a)$
2034	20426	35429	15003	0	0	0	0	0	14	0	2	14	1	vm	0x0u	none		3	0.007		^(?J)(?:(?<a>x)|q)(?<a>y)(?P=a)$
2035	24186	40501	16315	1936	256	1	20	5	18	5	3	18	1	vm	0x0u	hybrid	none	3	0.008		^(?J)(?:(?<a>x)|q)(?<a>y)(?P>a)$
2036	24185	40498	16313	1936	256	1	20	5	18	5	3	18	1	vm	0x0u	hybrid	none	3	0.008		^(?J)(?:(?<a>x)|q)(?<a>y)\g'a'$
2037	24185	40498	16313	1936	256	1	20	5	18	5	3	18	1	vm	0x0u	hybrid	none	3	0.009		^(?J)(?:(?<a>x)|q)(?<a>y)\g<a>$
2038	20425	35426	15001	0	0	0	0	0	14	0	2	14	1	vm	0x0u	none		3	0.005		^(?J)(?:(?<a>x)|q)(?<a>y)\g{a}$
2039	20425	35426	15001	0	0	0	0	0	14	0	2	14	1	vm	0x0u	none		3	0.004		^(?J)(?:(?<a>x)|q)(?<a>y)\k'a'$
2040	20425	35426	15001	0	0	0	0	0	14	0	2	14	1	vm	0x0u	none		3	0.008		^(?J)(?:(?<a>x)|q)(?<a>y)\k<a>$
2041																			0.009	pcrec: two named subpatterns have the same name (write (?J) before this declaration to allow duplicates) (pattern offset	^(?J)(?<a>x)(?-J)(?<a>y)$
2042	22848	38959	16111	1938	256	1	20	5	12	5	3	12	0	vm	0x0u	hybrid	none	3	0.006		^(?J)(?<a>x)(?:(?-J)q)(?<a>y)$
2043	22329	38376	16047	1801	256	1	12	4	10	4	3	10	0	vm	0x0u	hybrid	none	3	0.006		^(?J)(?<a>x)(?<a>y)$
2044	20121	35035	14914	0	0	0	0	0	11	0	2	11	0	vm	0x0u	none		3	0.010		^(?J)(?<a>x)(?<a>y)\k<a>$
2045	22384	38448	16064	1801	256	1	12	4	11	4	3	11	0	vm	0x0u	hybrid	none	3	0.006		^(?J)(?<a>x)(?^)(?<a>y)$
2046	25086	41412	16326	2201	256	1	35	7	19	7	3	19	0	vm	0x0u	hybrid	none	4	0.004		^(?J)(?<a>x)(q)(?<a>y)(?&a)z$
2047	26005	42980	16975	1963	256	1	18	6	15	6	3	15	0	vm	0x1u	hybrid	none	3	0.009		^(?J)(?<a>x?)(?<a>y)(?&a)$
2048	22282	38322	16040	1801	256	1	12	4	9	4	3	9	0	vm	0x0u	hybrid	none	3	0.005		^(?J:(?<a>x)(?<a>y))$
2049																			0.006	pcrec: two named subpatterns have the same name (write (?J) before this declaration to allow duplicates) (pattern offset	^(?J:(?<a>x))(?<a>y)$
2050	19280	34131	14851	0	0	0	0	0	7	0	2	7	0	vm	0x0u	none		2	0.006		^(?P<n>a)(?P=n)$
2051	19299	34154	14855	0	0	0	0	0	7	0	2	7	0	vm	0x0u	none		2	0.008		^(?P<w>a|b)(?P=w)$
2052	23035	39156	16121	1757	256	1	8	4	11	4	3	11	0	vm	0x0u	hybrid	none	2	0.009		^(?P<w>a|b)(?P>w)$
2053	22364	39348	16984	0	0	0	0	0	16	0	2	17	4	vm	0x4u	none		1	0.013		^(?R)*$
2054	21795	38709	16914	0	0	0	0	0	16	0	2	15	4	vm	0x2u	none		1	0.004		^(?R)?$
2055	22348	39564	17216	0	0	0	0	0	24	0	2	23	8	vm	0x2u	none		1	0.006		^(?R){0,2}$
2056	19581	34450	14869	231	32	1	0	0	9	0	2	9	0	vm	0x0u	none		2	0.009		^(?i)(a)(?-i)\1$
2057	19480	34323	14843	231	32	1	0	0	7	0	2	7	0	vm	0x0u	none		2	0.009		^(?i:(a))\1$
2058	19182	34015	14833	0	0	0	0	0	7	0	2	7	0	vm	0x0u	none		2	0.009		^(\1a)$
2059	22448	40605	18157	231	32	1	0	0	11	0	2	12	1	vm	0x4u	none		2	0.008		^(\w)\1+$
2060	20210	35186	14976	231	32	1	0	0	9	0	2	9	1	vm	0x1u	none		2	0.012		^(\w+)\1$
2061	19188	34027	14839	0	0	0	0	0	7	0	2	7	0	vm	0x0u	none		2	0.008		^(\xb5)\1$
2062	19188	34027	14839	0	0	0	0	0	7	0	2	7	0	vm	0x0u	none		2	0.005		^(\xc0)\1$
2063	19188	34027	14839	0	0	0	0	0	7	0	2	7	0	vm	0x0u	none		2	0.006		^(\xdf)\1$
2064	19188	34027	14839	0	0	0	0	0	7	0	2	7	0	vm	0x0u	none		2	0.009		^(\xff)\1$
2065	23931	41430	17499	0	0	0	0	0	24	0	2	25	4	vm	0x2u	none		2	0.006		^(a(?0)?b)$
2066	23932	41433	17501	0	0	0	0	0	24	0	2	25	4	vm	0x2u	none		2	0.009		^(a(?00)?b)$
2067	24101	41582	17481	0	0	0	0	0	22	0	2	23	4	vm	0x2u	none		2	0.004		^(a(?0001)?b)$
2068	24100	41579	17479	0	0	0	0	0	22	0	2	23	4	vm	0x2u	none		2	0.006		^(a(?001)?b)$
2069	24099	41576	17477	0	0	0	0	0	22	0	2	23	4	vm	0x2u	none		2	0.006		^(a(?01)?b)$
2070	24419	42084	17665	0	0	0	0	0	24	0	2	25	4	vm	0x2u	none		2	0.005		^(a(?1)?\Kb)$
2071	24098	41573	17475	0	0	0	0	0	22	0	2	23	4	vm	0x2u	none		2	0.007		^(a(?1)?b)$
2072	27372	45520	18148	0	0	0	0	0	44	0	2	47	10	vm	0x2u	none		2	0.009		^(a(?1)?b)(?R)?$
2073	25225	44275	19050	0	0	0	0	0	23	0	2	24	4	vm	0x2u	none		2	0.007		^(a(?1)?b)\1$
2074	27692	44830	17138	2122	256	1	28	7	20	7	3	21	1	vm	0x3u	hybrid	none	5	0.003		^(a(?3)?)(b)((c)?)$
2075	23931	41430	17499	0	0	0	0	0	24	0	2	25	4	vm	0x2u	none		2	0.007		^(a(?R)?b)$
2076	20755	36601	15846	1613	256	1	4	2	5	2	3	5	0	vm	0x0u	hybrid	none	2	0.008		^(a)
2077	20695	35756	15061	0	0	0	0	0	13	0	2	13	0	vm	0x0u	none		4	0.005		^(a)((b)\1)\2$
2078																			0.003	pcrec: a relative reference of zero is not allowed (pattern offset 4)	^(a)(?+0)$
2079																			0.004	pcrec: a relative reference of zero is not allowed (pattern offset 4)	^(a)(?+00)$
2080																			0.004	pcrec: (?+2) refers to capture group 3, but this pattern has 1 (pattern offset 4)	^(a)(?+2)$
2081																			0.004	pcrec: a relative reference of zero is not allowed (pattern offset 4)	^(a)(?-0)$
2082																			0.002	pcrec: a relative reference of zero is not allowed (pattern offset 4)	^(a)(?-00)$
2083	22906	39009	16103	1757	256	1	8	4	11	4	3	11	0	vm	0x0u	hybrid	none	2	0.004		^(a)(?-01)$
2084	25698	42657	16959	1965	256	1	18	6	20	6	3	20	0	vm	0x2u	hybrid	none	2	0.002		^(a)(?-1){2}b$
2085																			0.001	pcrec: (?-2) counts back past the first capture group; this pattern has 1 (pattern offset 4)	^(a)(?-2)$
2086	21868	38173	16305	0	0	0	0	0	19	0	2	19	0	vm	0x0u	none		3	0.005		^(a)(?1)(?<=(a))\1$
2087	26077	45831	19754	1799	256	1	12	4	15	4	3	16	1	vm	0x4u	hybrid	none	2	0.014		^(a)(?1)*b$
2088	27510	47474	19964	1881	256	1	15	5	21	5	3	22	1	vm	0x4u	hybrid	none	2	0.005		^(a)(?1)+b$
2089	24439	41256	16817	1828	256	1	10	5	14	5	3	15	1	vm	0x2u	hybrid	none	2	0.007		^(a)(?1)?$
2090	27298	44487	17189	2043	256	1	21	7	28	7	3	30	2	vm	0x2u	hybrid	none	2	0.011		^(a)(?1){1,3}b$
2091	25697	42654	16957	1965	256	1	18	6	20	6	3	20	0	vm	0x2u	hybrid	none	2	0.008		^(a)(?1){2}b$
2092																			0.007	pcrec: (?12) refers to capture group 12, but this pattern has 1 (pattern offset 4)	^(a)(?12)$
2093																			0.005	pcrec: (?2) refers to capture group 2, but this pattern has 1 (pattern offset 4)	^(a)(?2)$
2094																			0.004	pcrec: (?9) refers to capture group 9, but this pattern has 1 (pattern offset 4)	^(a)(?9)$
2095																			0.002	pcrec: subpattern name must start with a non-digit (a backreference BY NUMBER is spelled \N or \g{N}) (pattern offset 4)	^(a)(?P=1)$
