# population=byteclasses cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:11:45
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
bc013	3	22	55	16	mid	1	32	0	32	0	3.0	PASS	0	0.003083	MASK64:1
bc013	3	22	55	64	n1speed	3	56	0	56	0	0.0	PASS	0	0.003465	ALL:3
bc013	3	22	55	256	speed	3	56	0	56	0	0.0	PASS	0	0.004399	ALL:3
bc013	3	22	55	1e+09	maxspeed	3	56	0	56	0	0.0	PASS	0	0.003206	ALL:3
bc014	3	62	75	0	size	2	56	0	56	0	3.0	PASS	0	0.002990	ALL:1,MASK64:1
bc014	3	62	75	4	n1size	2	56	0	56	0	3.0	PASS	0	0.003362	ALL:1,MASK64:1
bc014	3	62	75	16	mid	3	56	0	56	0	0.0	PASS	0	0.004923	ALL:3
bc014	3	62	75	64	n1speed	3	56	0	56	0	0.0	PASS	0	0.003830	ALL:3
bc014	3	62	75	256	speed	3	56	0	56	0	0.0	PASS	0	0.003056	ALL:3
bc014	3	62	75	1e+09	maxspeed	3	56	0	56	0	0.0	PASS	0	0.003009	ALL:3
bc015	2	16	55	0	size	1	32	0	32	0	3.0	PASS	0	0.002964	MASK64:1
bc015	2	16	55	4	n1size	1	32	0	32	0	3.0	PASS	0	0.003356	MASK64:1
bc015	2	16	55	16	mid	2	36	0	36	0	0.0	PASS	0	0.002958	ALL:2
bc015	2	16	55	64	n1speed	2	36	0	36	0	0.0	PASS	0	0.003168	ALL:2
bc015	2	16	55	256	speed	2	36	0	36	0	0.0	PASS	0	0.003419	ALL:2
bc015	2	16	55	1e+09	maxspeed	2	36	0	36	0	0.0	PASS	0	0.003168	ALL:2
bc016	2	6	24	0	size	1	32	0	32	0	3.0	PASS	0	0.003306	MASK64:1
bc016	2	6	24	4	n1size	1	32	0	32	0	3.0	PASS	0	0.003241	MASK64:1
bc016	2	6	24	16	mid	2	36	0	36	0	0.0	PASS	0	0.003132	ALL:2
bc016	2	6	24	64	n1speed	2	36	0	36	0	0.0	PASS	0	0.003343	ALL:2
bc016	2	6	24	256	speed	2	36	0	36	0	0.0	PASS	0	0.003206	ALL:2
bc016	2	6	24	1e+09	maxspeed	2	36	0	36	0	0.0	PASS	0	0.003054	ALL:2
bc017	2	2	33	0	size	1	28	0	28	0	3.0	PASS	0	0.006286	MASK64:1
bc017	2	2	33	4	n1size	1	32	0	32	0	2.0	PASS	0	0.003400	CUBES:1
bc017	2	2	33	16	mid	1	32	0	32	0	2.0	PASS	0	0.003397	CUBES:1
bc017	2	2	33	64	n1speed	2	36	0	36	0	0.0	PASS	0	0.003185	ALL:2
bc017	2	2	33	256	speed	2	36	0	36	0	0.0	PASS	0	0.003336	ALL:2
bc017	2	2	33	1e+09	maxspeed	2	36	0	36	0	0.0	PASS	0	0.003485	ALL:2
bc018	2	2	3	0	size	1	28	0	28	0	3.0	PASS	0	0.003020	MASK64:1
bc018	2	2	3	4	n1size	1	24	0	24	0	2.0	PASS	0	0.002951	CUBES:1
bc018	2	2	3	16	mid	1	24	0	24	0	2.0	PASS	0	0.004068	CUBES:1
bc018	2	2	3	64	n1speed	2	20	0	20	0	0.0	PASS	0	0.003203	ALL:2
bc018	2	2	3	256	speed	2	20	0	20	0	0.0	PASS	0	0.003088	ALL:2
bc018	2	2	3	1e+09	maxspeed	2	20	0	20	0	0.0	PASS	0	0.003048	ALL:2
bc019	2	4	34	0	size	1	28	0	28	0	3.0	PASS	0	0.005026	MASK64:1
bc019	2	4	34	4	n1size	1	32	0	32	0	2.0	PASS	0	0.002986	CUBES:1
bc019	2	4	34	16	mid	1	32	0	32	0	2.0	PASS	0	0.003661	CUBES:1
bc019	2	4	34	64	n1speed	2	36	0	36	0	0.0	PASS	0	0.003533	ALL:2
bc019	2	4	34	256	speed	2	36	0	36	0	0.0	PASS	0	0.005543	ALL:2
bc019	2	4	34	1e+09	maxspeed	2	36	0	36	0	0.0	PASS	0	0.006252	ALL:2
bc020	3	250	256	0	size	1	56	20	76	20	12.0	PASS	0	0.004005	PAGE64:1
bc020	3	250	256	4	n1size	2	48	0	48	0	3.0	PASS	0	0.005761	ALL:1,MASK64:1
bc020	3	250	256	16	mid	3	52	0	52	0	0.0	PASS	0	0.005608	ALL:3
bc020	3	250	256	64	n1speed	3	52	0	52	0	0.0	PASS	0	0.005625	ALL:3
bc020	3	250	256	256	speed	3	52	0	52	0	0.0	PASS	0	0.006069	ALL:3
bc020	3	250	256	1e+09	maxspeed	3	52	0	52	0	0.0	PASS	0	0.005707	ALL:3
bc021	2	11	50	0	size	1	32	0	32	0	3.0	PASS	0	0.005698	MASK64:1
bc021	2	11	50	4	n1size	1	32	0	32	0	3.0	PASS	0	0.005843	MASK64:1
bc021	2	11	50	16	mid	2	40	0	40	0	0.0	PASS	0	0.004109	ALL:2
bc021	2	11	50	64	n1speed	2	40	0	40	0	0.0	PASS	0	0.006004	ALL:2
bc021	2	11	50	256	speed	2	40	0	40	0	0.0	PASS	0	0.005734	ALL:2
