# population=k53 cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:10:45
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
Xwd	930	144969	917952	1e+09	maxspeed	15	940	113304	114244	113304	90.0	PASS	0	0.035554	BITMAP:15
^Xwd	931	969143	1114112	0	size	22	1552	3406	4958	3350	243.6	PASS	0	0.041851	ALL:2,BSEARCH:1,MASK64:1,PAGE64:15,RANGES:3
^Xwd	931	969143	1114112	4	n1size	22	1484	3382	4866	3345	217.6	PASS	0	0.038270	ALL:3,BITMAP:3,BSEARCH:1,MASK64:1,PAGE64:12,RANGES:2
^Xwd	931	969143	1114112	16	mid	34	1440	3852	5292	3835	114.0	PASS	0	0.037632	ALL:19,BITMAP:11,PAGE64:4
^Xwd	931	969143	1114112	64	n1speed	31	1364	4208	5572	4201	108.0	PASS	0	0.037091	ALL:16,BITMAP:12,PAGE64:3
^Xwd	931	969143	1114112	256	speed	29	1320	6323	7643	6322	96.0	PASS	0	0.036165	ALL:14,BITMAP:14,PAGE64:1
^Xwd	931	969143	1114112	1e+09	maxspeed	15	948	138635	139583	138635	90.0	PASS	0	0.036814	BITMAP:15
Unknown(Zzzz)	729	959049	1113224	0	size	18	1324	3182	4506	3138	205.2	PASS	0	0.027209	ALL:1,BSEARCH:1,MASK64:2,PAGE64:12,RANGES:2
Unknown(Zzzz)	729	959049	1113224	4	n1size	16	1144	3286	4430	3250	189.2	PASS	0	0.027554	ALL:1,BITMAP:1,BSEARCH:2,MASK64:1,PAGE64:11
Unknown(Zzzz)	729	959049	1113224	16	mid	28	1304	3380	4684	3376	125.7	PASS	0	0.030933	ALL:15,BITMAP:8,BSEARCH:1,PAGE64:4
Unknown(Zzzz)	729	959049	1113224	64	n1speed	25	1156	4569	5725	4564	90.0	PASS	0	0.031238	ALL:13,BITMAP:9,PAGE64:3
Unknown(Zzzz)	729	959049	1113224	256	speed	24	1120	5249	6369	5239	84.0	PASS	0	0.031320	ALL:12,BITMAP:10,PAGE64:2
Unknown(Zzzz)	729	959049	1113224	1e+09	maxspeed	12	760	136902	137662	136902	72.0	PASS	0	0.026945	BITMAP:12
^Unknown(Zzzz)	729	155063	918000	0	size	17	1324	3194	4518	3161	213.4	PASS	0	0.029054	BSEARCH:1,PAGE64:12,RANGES:4
^Unknown(Zzzz)	729	155063	918000	4	n1size	17	1240	3226	4466	3200	197.4	PASS	0	0.029048	ALL:1,BITMAP:1,BSEARCH:1,PAGE64:11,RANGES:3
^Unknown(Zzzz)	729	155063	918000	16	mid	29	1312	3224	4536	3212	143.5	PASS	0	0.034493	ALL:16,BITMAP:5,BSEARCH:1,PAGE64:7
^Unknown(Zzzz)	729	155063	918000	64	n1speed	27	1192	4668	5860	4658	90.0	PASS	0	0.035098	ALL:15,BITMAP:9,PAGE64:3
^Unknown(Zzzz)	729	155063	918000	256	speed	24	1096	5577	6673	5574	84.0	PASS	0	0.032718	ALL:12,BITMAP:10,PAGE64:2
^Unknown(Zzzz)	729	155063	918000	1e+09	maxspeed	12	736	112784	113520	112784	72.0	PASS	0	0.032660	BITMAP:12
