# cc=gcc rounds=11 load1_at_start=0.10 date=2026-09-11T15:29:14
set	regime	arm	round	ns_per_char	hits	chk
^L	mixed	lam256	1	4.4454	981660	514665488340
^L	mixed	refbs	2	11.5959	981660	514665488340
^L	mixed	bitmap1	2	1.7488	981660	514665488340
^L	mixed	lam0	2	4.7849	981660	514665488340
^L	mixed	lam16	2	5.2126	981660	514665488340
^L	mixed	lam256	2	4.4364	981660	514665488340
^L	mixed	refbs	3	11.5382	981660	514665488340
^L	mixed	bitmap1	3	1.7481	981660	514665488340
^L	mixed	lam0	3	4.7771	981660	514665488340
^L	mixed	lam16	3	5.2182	981660	514665488340
^L	mixed	lam256	3	4.4367	981660	514665488340
^L	mixed	refbs	4	11.5148	981660	514665488340
^L	mixed	bitmap1	4	1.7474	981660	514665488340
^L	mixed	lam0	4	4.7780	981660	514665488340
^L	mixed	lam16	4	5.2135	981660	514665488340
^L	mixed	lam256	4	4.4342	981660	514665488340
^L	mixed	refbs	5	11.5198	981660	514665488340
^L	mixed	bitmap1	5	1.7473	981660	514665488340
^L	mixed	lam0	5	4.7804	981660	514665488340
^L	mixed	lam16	5	5.2107	981660	514665488340
^L	mixed	lam256	5	4.4445	981660	514665488340
^L	mixed	refbs	6	11.5498	981660	514665488340
^L	mixed	bitmap1	6	1.7473	981660	514665488340
^L	mixed	lam0	6	4.8094	981660	514665488340
^L	mixed	lam16	6	5.2248	981660	514665488340
^L	mixed	lam256	6	4.4441	981660	514665488340
^L	mixed	refbs	7	11.5585	981660	514665488340
^L	mixed	bitmap1	7	1.7475	981660	514665488340
^L	mixed	lam0	7	4.7764	981660	514665488340
^L	mixed	lam16	7	5.2141	981660	514665488340
^L	mixed	lam256	7	4.4304	981660	514665488340
^L	mixed	refbs	8	11.5522	981660	514665488340
^L	mixed	bitmap1	8	1.7497	981660	514665488340
^L	mixed	lam0	8	4.7791	981660	514665488340
^L	mixed	lam16	8	5.2138	981660	514665488340
^L	mixed	lam256	8	4.4341	981660	514665488340
^L	mixed	refbs	9	11.5636	981660	514665488340
^L	mixed	bitmap1	9	1.7672	981660	514665488340
^L	mixed	lam0	9	4.7788	981660	514665488340
^L	mixed	lam16	9	5.2160	981660	514665488340
^L	mixed	lam256	9	4.4324	981660	514665488340
^L	mixed	refbs	10	11.5190	981660	514665488340
^L	mixed	bitmap1	10	1.7466	981660	514665488340
^L	mixed	lam0	10	4.7891	981660	514665488340
^L	mixed	lam16	10	5.2159	981660	514665488340
^L	mixed	lam256	10	4.4335	981660	514665488340
^L	ascii	refbs	0	14.1971	622224	326207544994
^L	ascii	bitmap1	0	1.4773	622224	326207544994
^L	ascii	lam0	0	2.3706	622224	326207544994
^L	ascii	lam16	0	2.9572	622224	326207544994
^L	ascii	lam256	0	2.9539	622224	326207544994
^L	ascii	refbs	1	14.3338	622224	326207544994
^L	ascii	bitmap1	1	1.4758	622224	326207544994
^L	ascii	lam0	1	2.3889	622224	326207544994
^L	ascii	lam16	1	2.9547	622224	326207544994
^L	ascii	lam256	1	2.9544	622224	326207544994
^L	ascii	refbs	2	14.2034	622224	326207544994
^L	ascii	bitmap1	2	1.4805	622224	326207544994
^L	ascii	lam0	2	2.3634	622224	326207544994
^L	ascii	lam16	2	2.9560	622224	326207544994
^L	ascii	lam256	2	2.9657	622224	326207544994
^L	ascii	refbs	3	14.1832	622224	326207544994
^L	ascii	bitmap1	3	1.4800	622224	326207544994
^L	ascii	lam0	3	2.3967	622224	326207544994
^L	ascii	lam16	3	2.9915	622224	326207544994
^L	ascii	lam256	3	2.9581	622224	326207544994
^L	ascii	refbs	4	14.1906	622224	326207544994
^L	ascii	bitmap1	4	1.4797	622224	326207544994
