# seed=1 cases=40 lams=0,16,256 cc=gcc-16 elapsed_s=201.9 date=2026-09-11T09:16:56
# EVERY row compares 1114112 code points (0..0x10FFFF)
# PASS=438 FAIL=0
case	genA	genB	op	lam	nA	nB	nC	verdict	detail
p016_union_l16	boundary	comb	union	16.0	8	366	374	PASS	0
p016_union_l256	boundary	comb	union	256.0	8	366	374	PASS	0
p016_diff_l0	boundary	comb	diff	0.0	8	366	8	PASS	0
p016_diff_l16	boundary	comb	diff	16.0	8	366	8	PASS	0
p016_diff_l256	boundary	comb	diff	256.0	8	366	8	PASS	0
p016_compl_l0	boundary	comb	compl	0.0	8	366	7	PASS	0
p016_compl_l16	boundary	comb	compl	16.0	8	366	7	PASS	0
p016_compl_l256	boundary	comb	compl	256.0	8	366	7	PASS	0
p017_union_l0	comb	orbit	union	0.0	247	1523	1746	PASS	0
p017_union_l16	comb	orbit	union	16.0	247	1523	1746	PASS	0
p017_union_l256	comb	orbit	union	256.0	247	1523	1746	PASS	0
p017_inter_l0	comb	orbit	inter	0.0	247	1523	12	PASS	0
p017_inter_l16	comb	orbit	inter	16.0	247	1523	12	PASS	0
p017_inter_l256	comb	orbit	inter	256.0	247	1523	12	PASS	0
p017_diff_l0	comb	orbit	diff	0.0	247	1523	235	PASS	0
p017_diff_l16	comb	orbit	diff	16.0	247	1523	235	PASS	0
p017_diff_l256	comb	orbit	diff	256.0	247	1523	235	PASS	0
p017_compl_l0	comb	orbit	compl	0.0	247	1523	248	PASS	0
p017_compl_l16	comb	orbit	compl	16.0	247	1523	248	PASS	0
p017_compl_l256	comb	orbit	compl	256.0	247	1523	248	PASS	0
p018_union_l0	dense	sparse	union	0.0	5	517	429	PASS	0
p018_union_l16	dense	sparse	union	16.0	5	517	429	PASS	0
p018_union_l256	dense	sparse	union	256.0	5	517	429	PASS	0
p018_inter_l0	dense	sparse	inter	0.0	5	517	93	PASS	0
p018_inter_l16	dense	sparse	inter	16.0	5	517	93	PASS	0
p018_inter_l256	dense	sparse	inter	256.0	5	517	93	PASS	0
p018_diff_l0	dense	sparse	diff	0.0	5	517	98	PASS	0
p018_diff_l16	dense	sparse	diff	16.0	5	517	98	PASS	0
p018_diff_l256	dense	sparse	diff	256.0	5	517	98	PASS	0
p018_compl_l0	dense	sparse	compl	0.0	5	517	6	PASS	0
p018_compl_l16	dense	sparse	compl	16.0	5	517	6	PASS	0
p018_compl_l256	dense	sparse	compl	256.0	5	517	6	PASS	0
p019_union_l0	fold	dense	union	0.0	999	13	25	PASS	0
p019_union_l16	fold	dense	union	16.0	999	13	25	PASS	0
p019_union_l256	fold	dense	union	256.0	999	13	25	PASS	0
p019_inter_l0	fold	dense	inter	0.0	999	13	987	PASS	0
p019_inter_l16	fold	dense	inter	16.0	999	13	987	PASS	0
p019_inter_l256	fold	dense	inter	256.0	999	13	987	PASS	0
p019_diff_l0	fold	dense	diff	0.0	999	13	12	PASS	0
p019_diff_l16	fold	dense	diff	16.0	999	13	12	PASS	0
p019_diff_l256	fold	dense	diff	256.0	999	13	12	PASS	0
p019_compl_l0	fold	dense	compl	0.0	999	13	1000	PASS	0
p019_compl_l16	fold	dense	compl	16.0	999	13	1000	PASS	0
p019_compl_l256	fold	dense	compl	256.0	999	13	1000	PASS	0
p020_union_l0	orbit	pathologic	union	0.0	1534	450	1951	PASS	0
p020_union_l16	orbit	pathologic	union	16.0	1534	450	1951	PASS	0
p020_union_l256	orbit	pathologic	union	256.0	1534	450	1951	PASS	0
p020_inter_l0	orbit	pathologic	inter	0.0	1534	450	11	PASS	0
p020_inter_l16	orbit	pathologic	inter	16.0	1534	450	11	PASS	0
p020_inter_l256	orbit	pathologic	inter	256.0	1534	450	11	PASS	0
p020_diff_l0	orbit	pathologic	diff	0.0	1534	450	1523	PASS	0
p020_diff_l16	orbit	pathologic	diff	16.0	1534	450	1523	PASS	0
p020_diff_l256	orbit	pathologic	diff	256.0	1534	450	1523	PASS	0
p020_compl_l0	orbit	pathologic	compl	0.0	1534	450	1535	PASS	0
p020_compl_l16	orbit	pathologic	compl	16.0	1534	450	1535	PASS	0
p020_compl_l256	orbit	pathologic	compl	256.0	1534	450	1535	PASS	0
p021_union_l0	pathologic	boundary	union	0.0	343	8	351	PASS	0
p021_union_l16	pathologic	boundary	union	16.0	343	8	351	PASS	0
p021_union_l256	pathologic	boundary	union	256.0	343	8	351	PASS	0
p021_diff_l0	pathologic	boundary	diff	0.0	343	8	343	PASS	0
p021_diff_l16	pathologic	boundary	diff	16.0	343	8	343	PASS	0
p021_diff_l256	pathologic	boundary	diff	256.0	343	8	343	PASS	0
p021_compl_l0	pathologic	boundary	compl	0.0	343	8	344	PASS	0
p021_compl_l16	pathologic	boundary	compl	16.0	343	8	344	PASS	0
p021_compl_l256	pathologic	boundary	compl	256.0	343	8	344	PASS	0
p022_union_l0	random	fold	union	0.0	304	350	644	PASS	0
p022_union_l16	random	fold	union	16.0	304	350	644	PASS	0
p022_union_l256	random	fold	union	256.0	304	350	644	PASS	0
p022_inter_l0	random	fold	inter	0.0	304	350	10	PASS	0
p022_inter_l16	random	fold	inter	16.0	304	350	10	PASS	0
p022_inter_l256	random	fold	inter	256.0	304	350	10	PASS	0
p022_diff_l0	random	fold	diff	0.0	304	350	314	PASS	0
p022_diff_l16	random	fold	diff	16.0	304	350	314	PASS	0
p022_diff_l256	random	fold	diff	256.0	304	350	314	PASS	0
p022_compl_l0	random	fold	compl	0.0	304	350	305	PASS	0
p022_compl_l16	random	fold	compl	16.0	304	350	305	PASS	0
p022_compl_l256	random	fold	compl	256.0	304	350	305	PASS	0
p023_union_l0	sparse	random	union	0.0	61	550	608	PASS	0
p023_union_l16	sparse	random	union	16.0	61	550	608	PASS	0
p023_union_l256	sparse	random	union	256.0	61	550	608	PASS	0
p023_inter_l0	sparse	random	inter	0.0	61	550	3	PASS	0
p023_inter_l16	sparse	random	inter	16.0	61	550	3	PASS	0
p023_inter_l256	sparse	random	inter	256.0	61	550	3	PASS	0
p023_diff_l0	sparse	random	diff	0.0	61	550	58	PASS	0
p023_diff_l16	sparse	random	diff	16.0	61	550	58	PASS	0
p023_diff_l256	sparse	random	diff	256.0	61	550	58	PASS	0
p023_compl_l0	sparse	random	compl	0.0	61	550	62	PASS	0
p023_compl_l16	sparse	random	compl	16.0	61	550	62	PASS	0
p023_compl_l256	sparse	random	compl	256.0	61	550	62	PASS	0
p024_union_l0	boundary	comb	union	0.0	8	263	271	PASS	0
p024_union_l16	boundary	comb	union	16.0	8	263	271	PASS	0
p024_union_l256	boundary	comb	union	256.0	8	263	271	PASS	0
p024_diff_l0	boundary	comb	diff	0.0	8	263	8	PASS	0
p024_diff_l16	boundary	comb	diff	16.0	8	263	8	PASS	0
p024_diff_l256	boundary	comb	diff	256.0	8	263	8	PASS	0
p024_compl_l0	boundary	comb	compl	0.0	8	263	7	PASS	0
p024_compl_l16	boundary	comb	compl	16.0	8	263	7	PASS	0
p024_compl_l256	boundary	comb	compl	256.0	8	263	7	PASS	0
p025_union_l0	comb	orbit	union	0.0	270	2062	2284	PASS	0
p025_union_l16	comb	orbit	union	16.0	270	2062	2284	PASS	0
p025_union_l256	comb	orbit	union	256.0	270	2062	2284	PASS	0
p025_inter_l0	comb	orbit	inter	0.0	270	2062	8	PASS	0
p025_inter_l16	comb	orbit	inter	16.0	270	2062	8	PASS	0
p025_inter_l256	comb	orbit	inter	256.0	270	2062	8	PASS	0
p025_diff_l0	comb	orbit	diff	0.0	270	2062	262	PASS	0
p025_diff_l16	comb	orbit	diff	16.0	270	2062	262	PASS	0
p025_diff_l256	comb	orbit	diff	256.0	270	2062	262	PASS	0
p025_compl_l0	comb	orbit	compl	0.0	270	2062	271	PASS	0
p025_compl_l16	comb	orbit	compl	16.0	270	2062	271	PASS	0
