# population=uprops cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:05:22
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
LATN	65	1555	122602	0	size	8	904	11	915	11	116.0	PASS	0	0.006642	BITMAP:1,RANGES:7
LATN	65	1555	122602	16	mid	2	172	422	594	422	32.6	PASS	0	0.006839	BITMAP:1,BSEARCH:1
LATN	65	1555	122602	256	speed	3	132	1334	1466	1334	12.0	PASS	0	0.006677	ALL:2,PAGE64:1
SM	65	950	126663	0	size	9	896	0	896	0	128.0	PASS	0	0.007332	ALL:1,RANGES:8
SM	65	950	126663	16	mid	6	292	478	770	465	24.0	PASS	0	0.007143	ALL:3,BITMAP:2,PAGE64:1
SM	65	950	126663	256	speed	2	104	2184	2288	2184	12.0	PASS	0	0.007412	ALL:1,PAGE64:1
ARAB	59	1373	125170	0	size	6	588	0	588	0	83.0	PASS	0	0.006139	MASK64:1,RANGES:5
ARAB	59	1373	125170	16	mid	13	380	127	507	127	12.0	PASS	0	0.006114	ALL:11,BITMAP:2
ARAB	59	1373	125170	256	speed	1	72	2124	2196	2124	12.0	PASS	0	0.005654	PAGE64:1
ARAB	55	1421	125170	0	size	5	516	11	527	11	70.0	PASS	0	0.006134	BITMAP:1,RANGES:4
ARAB	55	1421	125170	16	mid	2	184	200	384	199	28.0	PASS	0	0.006200	BITMAP:1,BSEARCH:1
ARAB	55	1421	125170	256	speed	1	72	2132	2204	2132	12.0	PASS	0	0.005801	PAGE64:1
GREK	44	531	119183	0	size	6	548	0	548	0	88.0	PASS	0	0.005804	RANGES:6
GREK	44	531	119183	16	mid	7	252	168	420	161	12.0	PASS	0	0.006282	ALL:5,BITMAP:2
GREK	44	531	119183	256	speed	5	168	1038	1206	1038	6.0	PASS	0	0.006033	ALL:4,BITMAP:1
HAN	42	99338	205561	0	size	6	724	0	724	0	84.0	PASS	0	0.006065	RANGES:6
HAN	42	99338	205561	16	mid	1	116	336	452	336	27.0	PASS	0	0.005879	BSEARCH:1
HAN	42	99338	205561	256	speed	1	72	3461	3533	3461	12.0	PASS	0	0.005762	PAGE64:1
LATN	39	1487	122602	0	size	5	616	0	616	0	78.0	PASS	0	0.005447	RANGES:5
LATN	39	1487	122602	16	mid	1	116	312	428	312	26.4	PASS	0	0.005695	BSEARCH:1
LATN	39	1487	122602	256	speed	3	132	1254	1386	1254	12.0	PASS	0	0.006016	ALL:2,PAGE64:1
ETHI	37	524	124145	0	size	5	552	0	552	0	74.0	PASS	0	0.005317	RANGES:5
ETHI	37	524	124145	16	mid	6	284	52	336	52	15.0	PASS	0	0.006075	ALL:2,BITMAP:1,MASK64:3
ETHI	37	524	124145	256	speed	4	204	892	1096	892	12.0	PASS	0	0.005610	ALL:1,BITMAP:1,MASK64:2
ETHI	36	523	120319	0	size	5	528	0	528	0	72.0	PASS	0	0.005572	RANGES:5
ETHI	36	523	120319	16	mid	5	252	52	304	52	15.0	PASS	0	0.005753	ALL:1,BITMAP:1,MASK64:3
ETHI	36	523	120319	256	speed	3	176	892	1068	892	12.0	PASS	0	0.005870	BITMAP:1,MASK64:2
GREK	36	518	118486	0	size	5	416	0	416	0	57.0	PASS	0	0.005731	MASK64:1,RANGES:4
GREK	36	518	118486	16	mid	9	288	92	380	92	9.0	PASS	0	0.005609	ALL:7,BITMAP:1,MASK64:1
GREK	36	518	118486	256	speed	5	172	951	1123	951	6.0	PASS	0	0.005617	ALL:4,BITMAP:1
SK	31	125	127906	0	size	4	428	0	428	0	62.0	PASS	0	0.006414	RANGES:4
SK	31	125	127906	16	mid	15	408	101	509	101	9.0	PASS	0	0.006158	ALL:13,BITMAP:1,MASK64:1
SK	31	125	127906	256	speed	2	104	1167	1271	1167	12.0	PASS	0	0.005844	ALL:1,PAGE64:1
QAAI	29	657	917232	0	size	4	484	0	484	0	58.0	PASS	0	0.006348	RANGES:4
QAAI	29	657	917232	16	mid	1	116	232	348	232	24.3	PASS	0	0.005841	BSEARCH:1
QAAI	29	657	917232	256	speed	2	108	2019	2127	2019	12.0	PASS	0	0.005440	ALL:1,PAGE64:1
BENG	27	114	42550	0	size	4	300	0	300	0	54.0	PASS	0	0.006210	RANGES:4
BENG	27	114	42550	16	mid	4	172	22	194	22	9.0	PASS	0	0.005469	ALL:2,BITMAP:1,MASK64:1
BENG	27	114	42550	256	speed	2	84	840	924	840	6.0	PASS	0	0.005560	ALL:1,BITMAP:1
GRAN	25	116	71299	0	size	3	280	10	290	10	36.0	PASS	0	0.005685	BITMAP:1,RANGES:2
GRAN	25	116	71299	16	mid	8	252	15	267	15	9.0	PASS	0	0.005397	ALL:6,BITMAP:1,MASK64:1
GRAN	25	116	71299	256	speed	6	204	411	615	411	9.0	PASS	0	0.005336	ALL:4,BITMAP:1,MASK64:1
TAML	25	133	71343	0	size	3	260	0	260	0	35.0	PASS	0	0.005632	MASK64:1,RANGES:2
TAML	25	133	71343	16	mid	8	264	16	280	16	9.0	PASS	0	0.005783	ALL:6,BITMAP:1,MASK64:1
TAML	25	133	71343	256	speed	8	224	86	310	86	6.0	PASS	0	0.003179	ALL:7,BITMAP:1
HAN	22	99030	193840	0	size	3	392	0	392	0	44.0	PASS	0	0.003406	RANGES:3
HAN	22	99030	193840	16	mid	1	120	176	296	176	22.3	PASS	0	0.003329	BSEARCH:1
HAN	22	99030	193840	256	speed	19	504	0	504	0	3.0	PASS	0	0.003496	ALL:18,MASK64:1
KANA	22	375	110179	0	size	3	344	0	344	0	44.0	PASS	0	0.003640	RANGES:3
