pattern	subject	algo	positions	total_tries	tries_per_byte	total_verify_bytes	verify_bytes_per_byte	total_frames	frames_per_byte	max_deferred
pfx3-256	f-w255	trie	7	7	1.0000	7	1.0000	0	0.0000	0
pfx3-256	f-w255	hash2	7	12	1.7143	0	0.0000	0	0.0000	0
pfx3-256	f-w255	hash4	7	8	1.1429	0	0.0000	0	0.0000	0
pfx3-256	f-w255	vm	7	7	1.0000	7	1.0000	0	0.0000	0
pfx3-256	f-pfx3	serial	8	1793	224.1250	2056	257.0000	0	0.0000	0
pfx3-256	f-pfx3	firstbyte	8	257	32.1250	520	65.0000	0	0.0000	0
pfx3-256	f-pfx3	trie	8	16	2.0000	16	2.0000	0	0.0000	0
pfx3-256	f-pfx3	hash2	8	15	1.8750	6	0.7500	0	0.0000	0
pfx3-256	f-pfx3	hash4	8	11	1.3750	4	0.5000	0	0.0000	0
pfx3-256	f-pfx3	vm	8	16	2.0000	16	2.0000	1	0.1250	0
pfx3-256	t-128k-sparse	serial	131072	33554177	255.9981	34587425	263.8811	0	0.0000	0
pfx3-256	t-128k-sparse	firstbyte	131072	1000449	7.6328	2033697	15.5159	0	0.0000	0
pfx3-256	t-128k-sparse	trie	131072	135167	1.0312	135118	1.0309	0	0.0000	0
pfx3-256	t-128k-sparse	hash2	131072	294143	2.2441	32799	0.2502	0	0.0000	0
pfx3-256	t-128k-sparse	hash4	131072	262333	2.0014	29	0.0002	0	0.0000	0
pfx3-256	t-128k-sparse	vm	131072	135167	1.0312	135118	1.0309	1	0.0000	0
pfx3-256	f-bg	serial	8	2048	256.0000	2048	256.0000	0	0.0000	0
pfx3-256	f-bg	firstbyte	8	0	0.0000	0	0.0000	0	0.0000	0
pfx3-256	f-bg	trie	8	8	1.0000	8	1.0000	0	0.0000	0
pfx3-256	f-bg	hash2	8	14	1.7500	0	0.0000	0	0.0000	0
pfx3-256	f-bg	hash4	8	10	1.2500	0	0.0000	0	0.0000	0
pfx3-256	f-bg	vm	8	8	1.0000	8	1.0000	0	0.0000	0
pfx3-256	f-upper	serial	12	3072	256.0000	3072	256.0000	0	0.0000	0
pfx3-256	f-upper	firstbyte	12	0	0.0000	0	0.0000	0	0.0000	0
pfx3-256	f-upper	trie	12	12	1.0000	12	1.0000	0	0.0000	0
pfx3-256	f-upper	hash2	12	22	1.8333	0	0.0000	0	0.0000	0
pfx3-256	f-upper	hash4	12	18	1.5000	0	0.0000	0	0.0000	0
pfx3-256	f-upper	vm	12	12	1.0000	12	1.0000	0	0.0000	0
pfx3-256	f-near	serial	12	3072	256.0000	3072	256.0000	0	0.0000	0
pfx3-256	f-near	firstbyte	12	0	0.0000	0	0.0000	0	0.0000	0
pfx3-256	f-near	trie	12	12	1.0000	12	1.0000	0	0.0000	0
pfx3-256	f-near	hash2	12	22	1.8333	0	0.0000	0	0.0000	0
pfx3-256	f-near	hash4	12	18	1.5000	0	0.0000	0	0.0000	0
pfx3-256	f-near	vm	12	12	1.0000	12	1.0000	0	0.0000	0
pfx3-256	f-sfx	serial	9	2304	256.0000	2304	256.0000	0	0.0000	0
pfx3-256	f-sfx	firstbyte	9	0	0.0000	0	0.0000	0	0.0000	0
pfx3-256	f-sfx	trie	9	9	1.0000	9	1.0000	0	0.0000	0
pfx3-256	f-sfx	hash2	9	16	1.7778	0	0.0000	0	0.0000	0
pfx3-256	f-sfx	hash4	9	12	1.3333	0	0.0000	0	0.0000	0
pfx3-256	f-sfx	vm	9	9	1.0000	9	1.0000	0	0.0000	0
srt-2048	f-cnt2	serial	16	30895	1930.9375	32051	2003.1875	0	0.0000	0
srt-2048	f-cnt2	firstbyte	16	1196	74.7500	2352	147.0000	0	0.0000	0
srt-2048	f-cnt2	trie	16	512	32.0000	56	3.5000	0	0.0000	0
srt-2048	f-cnt2	hash2	16	65	4.0625	44	2.7500	0	0.0000	0
srt-2048	f-cnt2	hash4	16	2605	162.8125	2662	166.3750	0	0.0000	0
srt-2048	f-cnt2	vm	16	512	32.0000	56	3.5000	2	0.1250	0
srt-2048	f-nar4	serial	9	18432	2048.0000	19112	2123.5556	0	0.0000	0
srt-2048	f-nar4	firstbyte	9	732	81.3333	1412	156.8889	0	0.0000	0
srt-2048	f-nar4	trie	9	201	22.3333	25	2.7778	0	0.0000	0
srt-2048	f-nar4	hash2	9	42	4.6667	24	2.6667	0	0.0000	0
srt-2048	f-nar4	hash4	9	1461	162.3333	1506	167.3333	0	0.0000	0
srt-2048	f-nar4	vm	9	201	22.3333	25	2.7778	0	0.0000	0
srt-2048	f-w0	serial	12	24455	2037.9167	25316	2109.6667	0	0.0000	0
srt-2048	f-w0	firstbyte	12	896	74.6667	1757	146.4167	0	0.0000	0
srt-2048	f-w0	trie	12	436	36.3333	43	3.5833	0	0.0000	0
srt-2048	f-w0	hash2	12	51	4.2500	37	3.0833	0	0.0000	0
srt-2048	f-w0	hash4	12	1952	162.6667	1997	166.4167	0	0.0000	0
srt-2048	f-w0	vm	12	436	36.3333	43	3.5833	1	0.0833	0
srt-2048	f-s4095	serial	4	8192	2048.0000	8418	2104.5000	0	0.0000	0
srt-2048	f-s4095	firstbyte	4	300	75.0000	526	131.5000	0	0.0000	0
srt-2048	f-s4095	trie	4	94	23.5000	9	2.2500	0	0.0000	0
srt-2048	f-s4095	hash2	4	13	3.2500	5	1.2500	0	0.0000	0
srt-2048	f-s4095	hash4	4	646	161.5000	662	165.5000	0	0.0000	0
srt-2048	f-s4095	vm	4	94	23.5000	9	2.2500	0	0.0000	0
srt-2048	f-s0	serial	4	8192	2048.0000	8417	2104.2500	0	0.0000	0
srt-2048	f-s0	firstbyte	4	293	73.2500	518	129.5000	0	0.0000	0
srt-2048	f-s0	trie	4	85	21.2500	9	2.2500	0	0.0000	0
srt-2048	f-s0	hash2	4	16	4.0000	4	1.0000	0	0.0000	0
srt-2048	f-s0	hash4	4	646	161.5000	668	167.0000	0	0.0000	0
srt-2048	f-s0	vm	4	85	21.2500	9	2.2500	0	0.0000	0
srt-2048	t-128k-clean	serial	131072	268435456	2048.0000	276739680	2111.3562	0	0.0000	0
srt-2048	t-128k-clean	firstbyte	131072	8032827	61.2856	16337051	124.6418	0	0.0000	0
srt-2048	t-128k-clean	trie	131072	3914947	29.8687	323836	2.4707	0	0.0000	0
srt-2048	t-128k-clean	hash2	131072	525471	4.0090	271469	2.0711	0	0.0000	0
srt-2048	t-128k-clean	hash4	131072	21368858	163.0314	21754970	165.9772	0	0.0000	0
srt-2048	t-128k-clean	vm	131072	3914947	29.8687	323836	2.4707	0	0.0000	0
srt-2048	f-w511	serial	6	11523	1920.5000	11876	1979.3333	0	0.0000	0
srt-2048	f-w511	firstbyte	6	413	68.8333	766	127.6667	0	0.0000	0
srt-2048	f-w511	trie	6	146	24.3333	18	3.0000	0	0.0000	0
srt-2048	f-w511	hash2	6	27	4.5000	14	2.3333	0	0.0000	0
srt-2048	f-w511	hash4	6	974	162.3333	1000	166.6667	0	0.0000	0
srt-2048	f-w511	vm	6	146	24.3333	18	3.0000	1	0.1667	0
srt-2048	f-prefix	serial	11	22528	2048.0000	23344	2122.1818	0	0.0000	0
srt-2048	f-prefix	firstbyte	11	858	78.0000	1674	152.1818	0	0.0000	0
srt-2048	f-prefix	trie	11	387	35.1818	39	3.5455	0	0.0000	0
srt-2048	f-prefix	hash2	11	47	4.2727	34	3.0909	0	0.0000	0
srt-2048	f-prefix	hash4	11	1789	162.6364	1830	166.3636	0	0.0000	0
srt-2048	f-prefix	vm	11	387	35.1818	39	3.5455	0	0.0000	0
srt-2048	f-w2047	serial	8	16335	2041.8750	16886	2110.7500	0	0.0000	0
srt-2048	f-w2047	firstbyte	8	609	76.1250	1160	145.0000	0	0.0000	0
srt-2048	f-w2047	trie	8	245	30.6250	27	3.3750	0	0.0000	0
srt-2048	f-w2047	hash2	8	37	4.6250	26	3.2500	0	0.0000	0
srt-2048	f-w2047	hash4	8	1300	162.5000	1335	166.8750	0	0.0000	0
srt-2048	f-w2047	vm	8	245	30.6250	27	3.3750	1	0.1250	0
srt-2048	f-w7	serial	4	7457	1864.2500	7676	1919.0000	0	0.0000	0
srt-2048	f-w7	firstbyte	4	290	72.5000	509	127.2500	0	0.0000	0
srt-2048	f-w7	trie	4	90	22.5000	10	2.5000	0	0.0000	0
srt-2048	f-w7	hash2	4	15	3.7500	8	2.0000	0	0.0000	0
srt-2048	f-w7	hash4	4	647	161.7500	659	164.7500	0	0.0000	0
srt-2048	f-w7	vm	4	90	22.5000	10	2.5000	1	0.2500	0
srt-2048	t-512k-sparse	serial	524288	1073724744	2047.9674	1107001625	2111.4380	0	0.0000	0
srt-2048	t-512k-sparse	firstbyte	524288	32186260	61.3904	65463141	124.8610	0	0.0000	0
srt-2048	t-512k-sparse	trie	524288	15688569	29.9236	1297285	2.4744	0	0.0000	0
srt-2048	t-512k-sparse	hash2	524288	2106323	4.0175	1090697	2.0803	0	0.0000	0
srt-2048	t-512k-sparse	hash4	524288	85475142	163.0309	87017779	165.9732	0	0.0000	0
srt-2048	t-512k-sparse	vm	524288	15688569	29.9236	1297285	2.4744	24	0.0000	0
srt-2048	t-128k-dense	serial	131072	268162176	2045.9150	276547727	2109.8917	0	0.0000	0
srt-2048	t-128k-dense	firstbyte	131072	8109116	61.8676	16494667	125.8443	0	0.0000	0
srt-2048	t-128k-dense	trie	131072	3927818	29.9669	327836	2.5012	0	0.0000	0
srt-2048	t-128k-dense	hash2	131072	528711	4.0337	276509	2.1096	0	0.0000	0
srt-2048	t-128k-dense	hash4	131072	21369134	163.0336	21758894	166.0072	0	0.0000	0
srt-2048	t-128k-dense	vm	131072	3927818	29.9669	327836	2.5012	384	0.0029	0
srt-2048	f-sh1	serial	5	10240	2048.0000	10569	2113.8000	0	0.0000	0
srt-2048	f-sh1	firstbyte	5	403	80.6000	732	146.4000	0	0.0000	0
srt-2048	f-sh1	trie	5	174	34.8000	13	2.6000	0	0.0000	0
srt-2048	f-sh1	hash2	5	15	3.0000	8	1.6000	0	0.0000	0
srt-2048	f-sh1	hash4	5	809	161.8000	831	166.2000	0	0.0000	0
srt-2048	f-sh1	vm	5	174	34.8000	13	2.6000	0	0.0000	0
srt-2048	f-glued	serial	18	36743	2041.2778	38063	2114.6111	0	0.0000	0
srt-2048	f-glued	firstbyte	18	1354	75.2222	2674	148.5556	0	0.0000	0
srt-2048	f-glued	trie	18	677	37.6111	61	3.3889	0	0.0000	0
srt-2048	f-glued	hash2	18	71	3.9444	46	2.5556	0	0.0000	0
srt-2048	f-glued	hash4	18	2930	162.7778	2997	166.5000	0	0.0000	0
srt-2048	f-glued	vm	18	677	37.6111	61	3.3889	1	0.0556	0
srt-2048	f-w255	serial	7	13192	1884.5714	13652	1950.2857	0	0.0000	0
srt-2048	f-w255	firstbyte	7	520	74.2857	980	140.0000	0	0.0000	0
srt-2048	f-w255	trie	7	228	32.5714	23	3.2857	0	0.0000	0
srt-2048	f-w255	hash2	7	35	5.0000	26	3.7143	0	0.0000	0
srt-2048	f-w255	hash4	7	1136	162.2857	1169	167.0000	0	0.0000	0
srt-2048	f-w255	vm	7	228	32.5714	23	3.2857	1	0.1429	0
srt-2048	f-pfx3	serial	8	16384	2048.0000	16951	2118.8750	0	0.0000	0
srt-2048	f-pfx3	firstbyte	8	634	79.2500	1201	150.1250	0	0.0000	0
srt-2048	f-pfx3	trie	8	275	34.3750	22	2.7500	0	0.0000	0
srt-2048	f-pfx3	hash2	8	35	4.3750	17	2.1250	0	0.0000	0
srt-2048	f-pfx3	hash4	8	1298	162.2500	1328	166.0000	0	0.0000	0
srt-2048	f-pfx3	vm	8	275	34.3750	22	2.7500	0	0.0000	0
srt-2048	t-128k-sparse	serial	131072	268431186	2047.9674	276735233	2111.3223	0	0.0000	0
srt-2048	t-128k-sparse	firstbyte	131072	8031593	61.2762	16335640	124.6310	0	0.0000	0
srt-2048	t-128k-sparse	trie	131072	3916259	29.8787	324025	2.4721	0	0.0000	0
srt-2048	t-128k-sparse	hash2	131072	526484	4.0168	272531	2.0792	0	0.0000	0
srt-2048	t-128k-sparse	hash4	131072	21368684	163.0301	21753388	165.9652	0	0.0000	0
srt-2048	t-128k-sparse	vm	131072	3916259	29.8787	324025	2.4721	6	0.0000	0
srt-2048	f-bg	serial	8	16384	2048.0000	16923	2115.3750	0	0.0000	0
srt-2048	f-bg	firstbyte	8	597	74.6250	1136	142.0000	0	0.0000	0
srt-2048	f-bg	trie	8	214	26.7500	22	2.7500	0	0.0000	0
srt-2048	f-bg	hash2	8	36	4.5000	19	2.3750	0	0.0000	0
srt-2048	f-bg	hash4	8	1299	162.3750	1335	166.8750	0	0.0000	0
srt-2048	f-bg	vm	8	214	26.7500	22	2.7500	0	0.0000	0
srt-2048	f-upper	serial	12	24576	2048.0000	24576	2048.0000	0	0.0000	0
srt-2048	f-upper	firstbyte	12	0	0.0000	0	0.0000	0	0.0000	0
srt-2048	f-upper	trie	12	312	26.0000	12	1.0000	0	0.0000	0
srt-2048	f-upper	hash2	12	22	1.8333	0	0.0000	0	0.0000	0
srt-2048	f-upper	hash4	12	1950	162.5000	1932	161.0000	0	0.0000	0
srt-2048	f-upper	vm	12	312	26.0000	12	1.0000	0	0.0000	0
srt-2048	f-near	serial	12	24576	2048.0000	25471	2122.5833	0	0.0000	0
srt-2048	f-near	firstbyte	12	948	79.0000	1843	153.5833	0	0.0000	0
srt-2048	f-near	trie	12	392	32.6667	43	3.5833	0	0.0000	0
srt-2048	f-near	hash2	12	52	4.3333	37	3.0833	0	0.0000	0
srt-2048	f-near	hash4	12	1952	162.6667	1997	166.4167	0	0.0000	0
srt-2048	f-near	vm	12	392	32.6667	43	3.5833	0	0.0000	0
srt-2048	f-sfx	serial	9	18432	2048.0000	19091	2121.2222	0	0.0000	0
srt-2048	f-sfx	firstbyte	9	714	79.3333	1373	152.5556	0	0.0000	0
srt-2048	f-sfx	trie	9	255	28.3333	25	2.7778	0	0.0000	0
srt-2048	f-sfx	hash2	9	45	5.0000	25	2.7778	0	0.0000	0
srt-2048	f-sfx	hash4	9	1461	162.3333	1498	166.4444	0	0.0000	0
srt-2048	f-sfx	vm	9	255	28.3333	25	2.7778	0	0.0000	0
sh1-64	f-cnt2	serial	16	1024	64.0000	1024	64.0000	0	0.0000	0
sh1-64	f-cnt2	firstbyte	16	0	0.0000	0	0.0000	0	0.0000	0
sh1-64	f-cnt2	trie	16	16	1.0000	16	1.0000	0	0.0000	0
sh1-64	f-cnt2	hash2	16	30	1.8750	0	0.0000	0	0.0000	0
sh1-64	f-cnt2	hash4	16	43	2.6875	16	1.0000	0	0.0000	0
sh1-64	f-cnt2	vm	16	16	1.0000	16	1.0000	0	0.0000	0
sh1-64	f-nar4	serial	9	576	64.0000	576	64.0000	0	0.0000	0
sh1-64	f-nar4	firstbyte	9	0	0.0000	0	0.0000	0	0.0000	0
sh1-64	f-nar4	trie	9	9	1.0000	9	1.0000	0	0.0000	0
sh1-64	f-nar4	hash2	9	16	1.7778	0	0.0000	0	0.0000	0
sh1-64	f-nar4	hash4	9	22	2.4444	9	1.0000	0	0.0000	0
sh1-64	f-nar4	vm	9	9	1.0000	9	1.0000	0	0.0000	0
sh1-64	f-w0	serial	12	768	64.0000	768	64.0000	0	0.0000	0
sh1-64	f-w0	firstbyte	12	0	0.0000	0	0.0000	0	0.0000	0
sh1-64	f-w0	trie	12	12	1.0000	12	1.0000	0	0.0000	0
sh1-64	f-w0	hash2	12	22	1.8333	0	0.0000	0	0.0000	0
sh1-64	f-w0	hash4	12	31	2.5833	12	1.0000	0	0.0000	0
sh1-64	f-w0	vm	12	12	1.0000	12	1.0000	0	0.0000	0
sh1-64	f-s4095	serial	4	256	64.0000	322	80.5000	0	0.0000	0
sh1-64	f-s4095	firstbyte	4	64	16.0000	130	32.5000	0	0.0000	0
sh1-64	f-s4095	trie	4	12	3.0000	6	1.5000	0	0.0000	0
sh1-64	f-s4095	hash2	4	8	2.0000	2	0.5000	0	0.0000	0
sh1-64	f-s4095	hash4	4	6	1.5000	5	1.2500	0	0.0000	0
sh1-64	f-s4095	vm	4	12	3.0000	6	1.5000	0	0.0000	0
sh1-64	f-s0	serial	4	256	64.0000	320	80.0000	0	0.0000	0
sh1-64	f-s0	firstbyte	4	64	16.0000	128	32.0000	0	0.0000	0
sh1-64	f-s0	trie	4	28	7.0000	5	1.2500	0	0.0000	0
sh1-64	f-s0	hash2	4	6	1.5000	0	0.0000	0	0.0000	0
sh1-64	f-s0	hash4	4	6	1.5000	5	1.2500	0	0.0000	0
sh1-64	f-s0	vm	4	28	7.0000	5	1.2500	0	0.0000	0
sh1-64	t-128k-clean	serial	131072	8388608	64.0000	8649905	65.9935	0	0.0000	0
sh1-64	t-128k-clean	firstbyte	131072	252864	1.9292	514161	3.9227	0	0.0000	0
sh1-64	t-128k-clean	trie	131072	197828	1.5093	138384	1.0558	0	0.0000	0
sh1-64	t-128k-clean	hash2	131072	271165	2.0688	8433	0.0643	0	0.0000	0
sh1-64	t-128k-clean	hash4	131072	397241	3.0307	135145	1.0311	0	0.0000	0
sh1-64	t-128k-clean	vm	131072	197828	1.5093	138384	1.0558	0	0.0000	0
sh1-64	f-w511	serial	6	384	64.0000	384	64.0000	0	0.0000	0
sh1-64	f-w511	firstbyte	6	0	0.0000	0	0.0000	0	0.0000	0
sh1-64	f-w511	trie	6	6	1.0000	6	1.0000	0	0.0000	0
sh1-64	f-w511	hash2	6	10	1.6667	0	0.0000	0	0.0000	0
sh1-64	f-w511	hash4	6	12	2.0000	6	1.0000	0	0.0000	0
sh1-64	f-w511	vm	6	6	1.0000	6	1.0000	0	0.0000	0
sh1-64	f-prefix	serial	11	704	64.0000	704	64.0000	0	0.0000	0
sh1-64	f-prefix	firstbyte	11	0	0.0000	0	0.0000	0	0.0000	0
sh1-64	f-prefix	trie	11	11	1.0000	11	1.0000	0	0.0000	0
sh1-64	f-prefix	hash2	11	20	1.8182	0	0.0000	0	0.0000	0
sh1-64	f-prefix	hash4	11	27	2.4545	11	1.0000	0	0.0000	0
sh1-64	f-prefix	vm	11	11	1.0000	11	1.0000	0	0.0000	0
sh1-64	f-w2047	serial	8	512	64.0000	512	64.0000	0	0.0000	0
sh1-64	f-w2047	firstbyte	8	0	0.0000	0	0.0000	0	0.0000	0
sh1-64	f-w2047	trie	8	8	1.0000	8	1.0000	0	0.0000	0
sh1-64	f-w2047	hash2	8	14	1.7500	0	0.0000	0	0.0000	0
sh1-64	f-w2047	hash4	8	18	2.2500	8	1.0000	0	0.0000	0
sh1-64	f-w2047	vm	8	8	1.0000	8	1.0000	0	0.0000	0
sh1-64	f-w7	serial	4	256	64.0000	256	64.0000	0	0.0000	0
sh1-64	f-w7	firstbyte	4	0	0.0000	0	0.0000	0	0.0000	0
sh1-64	f-w7	trie	4	4	1.0000	4	1.0000	0	0.0000	0
sh1-64	f-w7	hash2	4	6	1.5000	0	0.0000	0	0.0000	0
sh1-64	f-w7	hash4	4	7	1.7500	4	1.0000	0	0.0000	0
sh1-64	f-w7	vm	4	4	1.0000	4	1.0000	0	0.0000	0
sh1-64	t-512k-sparse	serial	524288	33554180	63.9995	34581981	65.9599	0	0.0000	0
sh1-64	t-512k-sparse	firstbyte	524288	993988	1.8959	2021789	3.8563	0	0.0000	0
sh1-64	t-512k-sparse	trie	524288	786305	1.4998	553182	1.0551	0	0.0000	0
sh1-64	t-512k-sparse	hash2	524288	1084595	2.0687	33813	0.0645	0	0.0000	0
sh1-64	t-512k-sparse	hash4	524288	1589027	3.0308	540323	1.0306	0	0.0000	0
sh1-64	t-512k-sparse	vm	524288	786305	1.4998	553182	1.0551	4	0.0000	0
sh1-64	t-128k-dense	serial	131072	8384576	63.9692	8653528	66.0212	0	0.0000	0
sh1-64	t-128k-dense	firstbyte	131072	259968	1.9834	528920	4.0353	0	0.0000	0
sh1-64	t-128k-dense	trie	131072	199686	1.5235	138770	1.0587	0	0.0000	0
sh1-64	t-128k-dense	hash2	131072	271490	2.0713	8984	0.0685	0	0.0000	0
sh1-64	t-128k-dense	hash4	131072	397359	3.0316	135427	1.0332	0	0.0000	0
sh1-64	t-128k-dense	vm	131072	199686	1.5235	138770	1.0587	64	0.0005	0
sh1-64	f-sh1	serial	5	257	51.4000	325	65.0000	0	0.0000	0
