# function_census.py -- commit ed15116d53f31c499b50d6ba69018362b6f1c8a7 -- generated 2026-09-21 -- rows 935
file	start_line	end_line	span_lines	code_lines	max_depth	name	header
src/ir/dfa.c	1296	1528	233	87	4	pcrec_build_dfa	header
src/ir/nfa.c	408	531	124	86	5	trie_build	header
src/ir/dfa.c	968	1132	165	84	3	intern	header
src/gen/emit_vm.c	6029	6193	165	82	3	vm_rep	header
src/opt/possessify.c	558	715	158	82	5	gk_build	header
src/gen/emit_vm.c	3705	3788	84	77	5	vm_isl_words	header
src/gen/emit_vm.c	5812	5934	123	77	3	vm_counter_rep	header
src/parse/rxt_compose.c	468	617	150	77	2	rc_bind	header
src/gen/emit_vm.c	4146	4262	117	76	4	vm_isl_emit	header
src/parse/mod_verbs.c	317	535	219	74	3	verb_answer	header
src/parse/rxt_source.c	792	911	120	74	4	parse_setting	header
src/parse/parse.c	1088	1262	175	73	4	p_class	header
src/parse/rxt_source.c	1252	1329	78	73	8	frame_constraints	header
src/parse/rxt_source.c	1948	2069	122	72	2	parse_target	header
src/gen/emit_vm.c	7221	7374	154	70	5	vm_build_region_saves	header
src/parse/ext.c	211	355	145	70	5	esc_answer	header
src/gen/emit_vm.c	12329	12581	253	69	2	vm_emit_entries	header
src/parse/mod_backrefs.c	683	838	156	69	6	pcrec_bref_resolve	header
src/gen/emit_dfa.c	7170	7370	201	68	4	emit_orientation_block	header
src/parse/mod_named_groups.c	141	277	137	68	3	pcrec_ngport_declare	header
src/gen/emit_vm.c	6491	6623	133	67	3	vm_look_behind_branch	header
src/parse/rxt_source.c	3499	3582	84	67	4	closure_walk	header
src/gen/emit_vm.c	6816	6912	97	65	3	vm_look	header
src/opt/callgraph.c	487	576	90	64	4	cg_eligibility	header
src/parse/rxt_source.c	1811	1876	66	63	5	pcrec_rxt_decode_escaped	header
src/gen/emit_dfa.c	5767	5864	98	60	2	emit_scan_edge	header
src/opt/possessify.c	888	1108	221	60	4	pss_walk	header
src/dump/syntax_dump.c	562	639	78	58	6	pcrec_syntax_families	header
src/gen/emit_vm.c	2807	2946	140	58	3	vm_count_slots_rep	header
src/opt/revdet.c	295	447	153	58	5	rd_reverse	header
src/parse/parse.c	1620	1695	76	58	3	try_quant	header
src/gen/emit_vm.c	2976	3155	180	57	5	vm_count_slots	header
src/gen/emit_vm.c	931	999	69	55	3	vm_slot_name	header
src/gen/emit_vm.c	3904	4101	198	54	3	vm_isl_build	header
src/parse/mod_lookaround.c	440	599	160	54	3	pcrec_laport_group	header
src/parse/parse.c	689	769	81	54	5	esc_char_value	header
src/parse/mod_recursion.c	293	378	86	53	4	rc_name_call	header
src/parse/parse.c	1706	1841	136	52	3	p_rep	header
src/gen/emit_dfa.c	7380	7478	99	51	2	pcrec_emit_prologue	header
src/opt/altcls.c	312	375	64	51	5	altcls_walk_alt	header
src/parse/rxt_source.c	1334	1391	58	51	4	line_constraints	header
src/gen/emit_dfa.c	6004	6073	70	50	3	emit_machine_tables	header
src/gen/emit_dfa.c	6139	6279	141	50	3	emit_scan_loop	header
src/opt/select_engine.c	941	1066	126	50	3	pcrec_select_engine	header
src/dump/syntax_dump.c	251	344	94	49	4	pcrec_syntax_tsv	header
src/gen/emit_vm.c	7783	7889	107	49	3	vm_splice	header
src/gen/emit_vm.c	9739	9950	212	49	4	vm_init	header
src/opt/revdet.c	97	233	137	49	4	rd_shape	header
src/parse/rxt_source.c	548	629	82	48	3	slurp_lines	header
src/parse/rxt_source.c	689	747	59	48	2	read_prose_region	header
src/core/compile.c	173	221	49	47	4	emit_size_measure	header
src/gen/emit_dfa.c	4762	4836	75	47	3	pf_block_ofs	header
src/gen/emit_dfa.c	5885	5987	103	47	2	dfa_form_derive	header
src/parse/ext.c	582	717	136	47	3	clsbracket_answer	header
src/dump/syntax_dump.c	825	1008	184	46	2	built_status_probe	header
src/opt/scanedge.c	312	455	144	46	3	collect	header
src/dump/syntax_dump.c	1123	1196	74	45	2	pcrec_probe_ask	header
src/gen/emit_vm.c	7470	7564	95	45	2	vm_plan_capacities	header
src/gen/emit_vm.c	12597	12683	87	45	2	vm_emit_epilogue	header
src/opt/mrl.c	304	423	120	45	4	pcrec_cwmax	header
src/ir/dfa.c	1225	1283	59	44	4	make_state	header
src/parse/enabled.c	224	276	53	44	3	pcrec_enabled_set_spec	header
src/parse/ext.c	389	542	154	44	3	group_answer	header
src/opt/revdet.c	572	649	78	43	6	rd_alt_disjoint	header
src/opt/select_engine.c	549	827	279	43	1	prefilter_decision	header
src/dump/syntax_dump.c	1561	1608	48	42	2	put_verb_block	header
src/gen/emit_vm.c	6739	6806	68	42	3	vm_look_behind	header
src/gen/emit_vm.c	8103	8245	143	42	2	vm_bref	header
src/parse/rxt_compose.c	285	326	42	42	5	rc_remap_caps	header
src/gen/emit_dfa.c	6299	6405	107	41	2	emit_unanchored	header
src/opt/altcls.c	397	513	117	41	3	altcls_walk	header
src/opt/mrl.c	442	497	56	41	4	pcrec_cwmin	header
src/dump/syntax_dump.c	697	740	44	40	4	doorway_route	header
src/opt/mrl.c	120	254	135	40	4	pcrec_minw	header
src/parse/mod_backrefs.c	606	671	66	40	4	br_strip_caps	header
src/parse/parse.c	1342	1470	129	40	4	p_group_body	header
src/parse/rxt_source.c	1879	1941	63	40	2	parse_config	header
src/parse/rxt_source.c	2091	2135	45	40	4	config_walk	header
src/opt/lower_enc.c	326	389	64	39	4	lower_class_utf8	header
src/opt/lower_enc.c	513	576	64	39	5	lower_walk	header
src/dump/syntax_dump.c	394	465	72	38	5	pcrec_definitions_tsv	header
src/opt/altcls.c	260	299	40	38	4	altcls_factor_run	header
src/parse/mod_backrefs.c	186	242	57	38	3	pcrec_brport_digit	header
src/parse/parse.c	1481	1565	85	38	3	p_atom	header
src/gen/emit_vm.c	9553	9660	108	37	2	vm_emit_default_entry	header
src/parse/rxt_source.c	996	1033	38	37	2	check_value_shape	header
src/opt/altcls.c	210	252	43	36	4	altcls_extend_prefix	header
src/opt/atomic.c	785	862	78	36	4	pcrec_has_live_capture	header
src/opt/lower_enc.c	253	297	45	36	3	u8_box	header
src/opt/prefix_k.c	172	221	50	36	3	wclose	header
src/opt/revdet.c	472	564	93	36	5	pcrec_revdet_first	header
src/parse/rxt_source.c	1088	1131	44	36	3	closed_apply	header
src/parse/rxt_source.c	1144	1199	56	36	4	under_key	header
src/dump/schema_dump.c	96	195	100	35	3	pcrec_rxt_schema_tsv	header
src/gen/emit_vm.c	7591	7627	37	35	3	vm_plan_regions	header
src/opt/atomic.c	219	262	44	35	4	pcrec_has_collapsible_rep	header
src/opt/atomic.c	626	697	72	35	4	pcrec_bref_mark	header
src/parse/rxt_compose.c	639	711	73	35	1	rc_assign	header
src/core/compile.c	515	586	72	34	3	size_term_choose	header
src/gen/emit_vm.c	4813	4876	64	34	2	vm_poss_chain	header
src/gen/emit_vm.c	5750	5795	46	34	2	vm_counter_poss_opt	header
src/opt/lower_enc.c	395	434	40	34	3	pat_char_utf8	header
src/opt/select_engine.c	200	310	111	34	4	first_dfa_excluding	header
src/gen/emit_vm.c	8548	8586	39	33	3	vm_cls_describe	header
src/opt/lower_enc.c	473	506	34	33	5	subtree_is_identity	header
src/parse/parse.c	283	317	35	33	4	xskip	header
src/parse/rxt_source.c	1489	1521	33	33	2	close_section_frame	header
src/gen/emit_dfa.c	7832	7895	64	32	3	pcrec_emit_dfa	header
src/gen/emit_vm.c	3862	3893	32	32	3	vm_isl_insert	header
src/gen/emit_vm.c	5952	6019	68	32	2	vm_star	header
src/gen/emit_vm.c	10297	10462	166	32	2	vm_plan_entry	header
src/opt/atomic.c	59	117	59	32	4	pcrec_has_atomic	header
src/parse/mod_backrefs.c	497	529	33	32	2	pcrec_brport_k	header
src/parse/rxt_source.c	1213	1246	34	32	3	cond_holds	header
src/parse/rxt_source.c	1673	1705	33	32	2	read_wrapped_value	header
src/dump/syntax_dump.c	478	522	45	31	3	pcrec_syntax_verbs	header
src/gen/emit_dfa.c	2102	2144	43	31	1	emit_header	header
src/gen/emit_vm.c	1790	1834	45	31	4	vm_cap_offsets	header
src/gen/emit_vm.c	4273	4313	41	31	3	vm_alt	header
src/gen/emit_vm.c	7395	7426	32	31	4	vm_memo_region_costs	header
src/opt/atomic.c	148	190	43	31	4	pcrec_has_lookaround	header
src/opt/atomic.c	287	332	46	31	4	pcrec_ast_stamped_by	header
src/opt/atomic.c	560	609	50	31	4	pcrec_has_bref	header
src/parse/mod_recursion.c	187	225	39	31	2	pcrec_rcport_num	header
src/parse/mod_recursion.c	517	575	59	31	2	pcrec_rcport_define	header
src/gen/emit_vm.c	8028	8095	68	30	3	vm_cap	header
src/opt/atomic.c	896	926	31	30	4	pcrec_has_linked_call	header
src/opt/atomic.c	930	961	32	30	4	pcrec_has_call	header
src/parse/mod_atomic_groups.c	74	131	58	30	2	pcrec_agport_atomic	header
src/parse/mod_lookaround.c	290	326	37	30	3	la_widths	header
src/parse/rxt_schema.c	261	295	35	30	3	pcrec_rxt_constraint_next	header
src/core/compile.c	2003	2042	40	29	2	pcrec_count_groups	header
src/gen/emit_vm.c	1281	1430	150	29	4	vm_nullable	header
src/gen/emit_vm.c	1720	1777	58	29	4	vm_det_seq	header
src/opt/atomic.c	426	514	89	29	5	dis_walk	header
src/parse/mod_recursion.c	241	281	41	29	1	pcrec_rcport_rel	header
src/gen/emit_dfa.c	2982	3106	125	28	2	unanch_start	header
src/gen/emit_vm.c	1925	1987	63	28	4	vm_rev_caps	header
src/gen/emit_vm.c	6298	6343	46	28	2	vm_atomic	header
src/opt/lower_enc.c	589	618	30	28	5	cap_sig	header
src/parse/mod_assertions.c	77	221	145	28	2	pcrec_asrtport_atom	header
src/parse/mod_classes.c	40	87	48	28	3	pcrec_clsport_posix	header
src/core/cpset.c	133	159	27	27	3	pcrec_cpset_remove	header
src/gen/emit_dfa.c	593	672	80	27	2	emit_search_head	header
src/gen/emit_dfa.c	3974	4016	43	27	2	token_stop	header
src/gen/emit_vm.c	6995	7021	27	27	4	vm_walk_caps	header
src/ir/nfa.c	1078	1122	45	27	3	cstart_check_omission	header
src/opt/revdet.c	699	768	70	27	3	rd_walk	header
src/parse/rxt_source.c	1712	1754	43	27	2	oracle_ref_ok	header
cli/main.c	1006	1033	28	26	4	raw_split	header
src/core/cpset.c	97	129	33	26	2	pcrec_cpset_add	header
src/enc/enc.c	151	184	34	26	4	pcrec_enc_advance	header
src/gen/emit_dfa.c	4104	4142	39	26	2	token_indexed	header
src/gen/emit_vm.c	4732	4774	43	26	2	vm_opt_chain	header
src/gen/emit_vm.c	7078	7103	26	26	4	vm_walk_calls	header
src/parse/mod_lookaround.c	186	252	67	26	4	la_has_kreset	header
src/parse/rxt_source.c	1762	1789	28	26	2	tag_list_ok	header
src/core/compile.c	251	284	34	25	2	job_cleanup	header
src/enc/enc.c	196	222	27	25	4	pcrec_enc_start_guard	header
src/gen/emit_dfa.c	3326	3390	65	25	4	pick_skip_states	header
src/gen/emit_vm.c	4892	4943	52	25	1	vm_poss_star	header
src/ir/dfa.c	349	373	25	25	2	lctx_intern	header
src/parse/definitions.c	147	173	27	25	2	pcrec_ast_is_core	header
src/core/internal.h	4001	4028	28	24	4	pcrec_ast_visit	header
src/gen/emit_dfa.c	1209	1265	57	24	1	emit_buffers_surface	header
src/gen/emit_dfa.c	4056	4096	41	24	2	token_premul	header
src/gen/emit_vm.c	3799	3833	35	24	4	vm_isl_subtree_nodes	header
src/gen/emit_vm.c	7668	7695	28	24	2	vm_call	header
src/gen/emit_vm.c	8252	8288	37	24	2	vm_cat	header
src/ir/nfa.c	539	571	33	24	2	trie_key	header
src/opt/lower_enc.c	627	667	41	24	2	pcrec_lower_enc	header
src/opt/possessify.c	719	750	32	24	3	body_admits_unique_iteration	header
src/parse/parse.c	346	370	25	24	4	cls_skip	header
src/parse/parse.c	945	968	24	24	3	pcrec_clsport_octal	header
src/gen/emit_dfa.c	532	564	33	23	2	pcrec_startpos_guard_text	header
src/ir/nfa.c	1131	1162	32	23	2	pcrec_nfa_wrap_unanchored	header
src/parse/enabled.c	184	206	23	23	3	render_modules	header
src/parse/mod_recursion.c	133	166	34	23	2	rc_node	header
src/parse/parse.c	1046	1078	33	23	2	p_class_range	header
src/core/sb.c	118	142	25	22	2	sb_vprintf	header
src/gen/emit_dfa.c	5407	5436	30	22	3	start_pinned_applies	header
src/ir/dfa.c	864	894	31	22	2	closure	header
src/ir/nfa.c	133	159	27	22	2	nst	header
src/opt/scanedge.c	273	302	30	22	3	in_degrees	header
src/parse/mod_backrefs.c	280	301	22	22	2	br_name_ref	header
src/core/arena.c	13	38	26	21	3	pcrec_arena_alloc	header
src/gen/emit_dfa.c	159	179	21	21	3	emit_c_string_literal	header
src/gen/emit_dfa.c	3433	3453	21	21	4	emit_class_legend	header
src/gen/emit_dfa.c	4724	4748	25	21	3	ofsk_emit_verify	header
src/gen/emit_dfa.c	4899	4922	24	21	2	pf_emit_ofs_bounded	header
src/gen/emit_dfa.c	6475	6512	38	21	1	emit_anchored_match_def	header
src/gen/emit_vm.c	2495	2516	22	21	3	vm_cost_alt	header
src/gen/emit_vm.c	7156	7176	21	21	3	vm_resolve_nonnull	header
src/gen/emit_vm.c	9468	9488	21	21	2	vm_frame_fields	header
src/ir/nfa.c	373	398	26	21	2	disjoint_run_len	header
src/opt/possessify.c	846	878	33	21	2	pss_rep	header
src/parse/mod_modifiers.c	105	146	42	21	3	pcrec_registry_option_run_ok	header
src/parse/parse.c	874	934	61	21	3	esc_class_value	header
src/parse/rxt_compose.c	222	246	25	21	2	def_by_name	header
src/dump/axes_dump.c	742	800	59	20	2	pcrec_axes_tsv	header
src/gen/emit_dfa.c	4020	4041	22	20	2	token_accepts	header
src/gen/emit_dfa.c	4270	4291	22	20	1	view_emit_end_and_eol	header
src/gen/emit_vm.c	2712	2747	36	20	4	vm_cost	header
src/gen/emit_vm.c	7928	7975	48	20	2	vm_region	header
src/parse/mod_lookaround.c	132	170	39	20	2	la_kind	header
src/parse/scans.c	60	79	20	20	3	pcrec_class_delim_extent_scan	header
cli/main.c	66	86	21	19	2	parse_raise_only	header
src/core/compile.c	333	366	34	19	1	build_anchored_dfa	header
src/gen/emit_vm.c	3840	3858	19	19	2	vm_isl_node	header
src/opt/callgraph.c	589	621	33	19	2	cg_force_deliver_splice	header
src/opt/revdet.c	667	690	24	19	5	rd_rep	header
src/opt/select_engine.c	892	926	35	19	1	esel_of	header
src/parse/definitions.c	68	107	40	19	3	def_resolve_depth	header
src/parse/rxt_compose.c	380	407	28	19	3	rc_rebase_refs	header
src/parse/rxt_compose.c	439	457	19	19	3	rc_find_root_call	header
src/parse/rxt_source.c	1061	1081	21	19	2	closed_check	header
src/parse/rxt_source.c	3221	3239	19	19	3	cfg_merge	header
src/parse/rxt_source.c	3301	3319	19	19	3	cfg_effective	header
src/parse/scans.c	143	161	19	19	2	pcrec_brace_quant_shape	header
src/core/compile.c	135	167	33	18	2	emit_size_table_open	header
src/dump/axes_dump.c	283	300	18	18	2	emit_dfa_list_axis	header
src/gen/emit_dfa.c	4422	4463	42	18	1	acc_emit_tail_by_class	header
src/gen/emit_dfa.c	5374	5402	29	18	2	start_pinned_assert_routing	header
src/ir/nfa.c	188	205	18	18	3	frag_star	header
src/opt/possessify.c	812	842	31	18	1	pss_verdict	header
src/parse/mod_backrefs.c	104	129	26	18	1	br_node	header
src/parse/mod_backrefs.c	576	598	23	18	3	br_name_run	header
src/parse/registry.c	1789	1822	34	18	3	pcrec_registry_arbitrate	header
src/parse/rxt_source.c	317	346	30	18	1	rxt_fail	header
src/core/compile.c	1972	1991	20	17	2	pcrec_emit_ir	header
src/dump/syntax_dump.c	769	794	26	17	2	doorway_call	header
src/dump/syntax_dump.c	1354	1374	21	17	2	put_answer	header
src/gen/emit_dfa.c	1350	1377	28	17	1	emit_match_def	header
src/gen/emit_vm.c	2675	2691	17	17	2	vm_cost_call	header
src/gen/emit_vm.c	4331	4347	17	17	1	vm_emit_span_scan	header
src/gen/emit_vm.c	7985	8021	37	17	1	vm_wordb	header
src/ir/dfa.c	155	205	51	17	2	eqclasses	header
src/opt/minimize.c	39	64	26	17	2	state_sig	header
src/parse/definitions.c	34	58	25	17	2	pcrec_def_tag_applies	header
src/parse/mod_recursion.c	383	400	18	17	2	pcrec_rcport_name	header
src/parse/parse.c	121	201	81	17	2	pcrec_is_bare_anchor	header
src/parse/parse.c	385	401	17	17	3	cls_peek_past_dash	header
src/parse/parse.c	804	860	57	17	2	esc_atom	header
src/parse/parse.c	998	1017	20	17	2	cls_read_member	header
src/parse/parse.c	1907	1923	17	17	2	p_alt_info	header
src/parse/rxt_compose.c	735	754	20	17	4	rc_next_wanted	header
src/parse/rxt_schema.c	158	174	17	17	2	pcrec_rxt_value_name	header
src/parse/rxt_source.c	636	652	17	17	2	row_push	header
src/core/tune.c	137	157	21	16	3	pcrec_tune_parse	header
src/gen/emit_dfa.c	2602	2617	16	16	3	emit_acc_table	header
src/gen/emit_dfa.c	4879	4894	16	16	2	pf_emit_ofs	header
src/gen/emit_vm.c	1621	1636	16	16	2	vm_cls_shape	header
src/gen/emit_vm.c	1642	1659	18	16	2	vm_cls_test	header
src/gen/emit_vm.c	12711	12728	18	16	1	pcrec_emit_vm	header
src/opt/possessify.c	1114	1137	24	16	1	pcrec_poss_survey	header
src/parse/mod_backrefs.c	538	554	17	16	2	pcrec_brport_pname	header
src/parse/mod_lookaround.c	410	427	18	16	2	pcrec_lookaround_fix_widths	header
src/parse/rxt_source.c	500	515	16	16	2	config_list_ok	header
src/parse/rxt_source.c	3855	3870	16	16	2	kind_name	header
cli/main.c	614	628	15	15	2	cli_menu	header
src/core/cpset.c	193	207	15	15	3	pcrec_cpset_complement	header
src/core/sb.c	13	36	24	15	2	sb_grow	header
src/core/sb.c	217	231	15	15	3	pcrec_sb_field	header
src/core/tune.c	186	200	15	15	2	pcrec_vm_entry_shape_names	header
src/dump/axes_dump.c	385	399	15	15	1	emit_pred_row	header
src/gen/emit_vm.c	767	781	15	15	2	vm_ev	header
src/ir/dfa.c	447	461	15	15	2	pmemo_add	header
src/opt/lower_enc.c	304	319	16	15	3	u8_ranges	header
src/opt/postresolve.c	128	155	28	15	2	pcrec_postresolve	header
src/opt/scanedge.c	199	213	15	15	2	pcrec_scan_range	header
src/parse/parse.c	653	667	15	15	2	pcrec_ast_class_from_iv	header
src/parse/parse.c	1857	1871	15	15	3	cat_ends	header
src/parse/rxt_compose.c	346	360	15	15	4	rc_mark_kept	header
src/parse/rxt_source.c	3374	3388	15	15	2	lib_chain_text	header
src/core/sb.c	274	287	14	14	1	pcrec_sb_fragfv	header
src/core/tune.c	208	221	14	14	3	pcrec_tune_names	header
src/dump/axes_dump.c	261	274	14	14	2	axis_row	header
src/dump/syntax_dump.c	74	87	14	14	3	names_join	header
src/enc/enc.c	48	73	26	14	3	pcrec_enc_names	header
src/enc/enc.c	82	96	15	14	3	pcrec_enc_emit_decls	header
src/enc/enc.c	101	114	14	14	3	pcrec_enc_emit_defs	header
src/gen/emit_dfa.c	2428	2441	14	14	3	emit_tr_table	header
src/gen/emit_dfa.c	2741	2754	14	14	3	emit_acc_cls_table	header
src/gen/emit_dfa.c	7782	7819	38	14	1	emit_dfa_stamps	header
src/gen/emit_vm.c	1563	1576	14	14	2	vm_cls	header
src/gen/emit_vm.c	3488	3501	14	14	2	vm_mrl_amt	header
src/gen/emit_vm.c	4109	4122	14	14	4	vm_isl_cands	header
src/gen/emit_vm.c	8779	8792	14	14	2	vm_listing_events	header
src/ir/dfa.c	429	442	14	14	2	pmemo_grow	header
src/ir/nfa.c	312	325	14	14	3	chain_alts	header
src/opt/callgraph.c	211	237	27	14	1	cg_bind	header
src/opt/lower_enc.c	180	193	14	14	2	u8_enc	header
src/opt/possessify.c	1142	1164	23	14	1	pcrec_possessify	header
src/opt/scanedge.c	249	262	14	14	3	shaped	header
src/parse/mod_uprops.c	204	217	14	14	3	uprops_namespace	header
src/parse/parse.c	1878	1891	14	14	2	p_cat	header
src/parse/rxt_schema.c	103	116	14	14	2	pcrec_rxt_schema_child_scope	header
src/parse/rxt_schema.c	240	253	14	14	2	pcrec_rxt_constraint_name	header
src/core/fold.c	130	146	17	13	2	ucd_partners	header
src/dump/syntax_dump.c	1312	1324	13	13	1	msg_module	header
src/gen/emit_dfa.c	304	319	16	13	2	pcrec_engine_sel_name	header
src/gen/emit_dfa.c	1388	1412	25	13	1	emit_match_caps_def	header
src/gen/emit_dfa.c	1449	1485	37	13	1	emit_in_entry_defs	header
src/gen/emit_dfa.c	3166	3197	32	13	2	dfa_table_name	header
src/gen/emit_dfa.c	3933	3950	18	13	2	token_step	header
src/gen/emit_dfa.c	4540	4561	22	13	1	pf_emit_memchr	header
src/gen/emit_dfa.c	5026	5044	19	13	1	dir_rev_skip	header
src/gen/emit_dfa.c	5485	5497	13	13	2	pcrec_dfa_axis_cands	banner
src/gen/emit_dfa.c	6530	6556	27	13	1	emit_anchored_match_caps_def	header
src/gen/emit_vm.c	8751	8763	13	13	2	vm_listing_slots	header
src/gen/emit_vm.c	9439	9451	13	13	2	vm_layout	header
src/ir/dfa.c	118	130	13	13	2	refine_by	header
src/ir/dfa.c	482	494	13	13	2	cont_push	header
src/ir/nfa.c	329	341	13	13	4	trie_tail	header
src/opt/altcls.c	380	392	13	13	2	altcls_walk_cat	header
src/parse/definitions.c	121	133	13	13	2	pcrec_def_tag_name	header
src/parse/enabled.c	134	146	13	13	3	find_module_bits	header
src/parse/mod_named_groups.c	98	110	13	13	2	pcrec_group_name_scan	header
src/parse/mod_uprops.c	174	186	13	13	2	uprops_lookup	header
src/parse/rxt_schema.c	143	155	13	13	2	pcrec_rxt_scope_name	header
src/parse/rxt_schema.c	177	189	13	13	2	pcrec_rxt_children_name	header
src/parse/rxt_schema.c	322	334	13	13	2	pcrec_rxt_scope_context	header
src/parse/rxt_schema.c	339	351	13	13	2	pcrec_rxt_scope_noun	header
src/parse/rxt_source.c	1402	1414	13	13	2	prov_push	header
src/parse/rxt_source.c	1418	1430	13	13	2	variant_push	header
src/parse/rxt_source.c	1434	1446	13	13	2	case_push	header
src/parse/rxt_source.c	1450	1462	13	13	2	aux_push	header
src/parse/rxt_source.c	3243	3255	13	13	1	set_from_row	header
src/parse/rxt_source.c	3403	3415	13	13	4	pcrec_rxt_flags_from_letters	header
cli/main.c	316	327	12	12	2	set_encoding	header
cli/main.c	558	569	12	12	3	libdir_push	header
src/core/compile.c	19	34	16	12	2	pcrec_ctx_fail	header
src/dump/syntax_dump.c	137	153	17	12	2	kind_name	header
src/dump/syntax_dump.c	157	176	20	12	2	doorway_name	header
src/dump/syntax_dump.c	1015	1059	45	12	1	pcrec_construct_built_status	header
src/dump/syntax_dump.c	1066	1083	18	12	2	doorway_word	header
src/dump/syntax_dump.c	1337	1348	12	12	1	live_answer	header
src/gen/emit_dfa.c	1585	1596	12	12	1	ng_cmp_name	header
src/gen/emit_dfa.c	4232	4246	15	12	1	view_emit_eol_only	header
src/gen/emit_dfa.c	4568	4584	17	12	1	pf_emit_memchr_bounded	header
src/gen/emit_dfa.c	4998	5020	23	12	1	dir_fwd_skip	header
src/gen/emit_dfa.c	5072	5102	31	12	1	dir_rev_bound_accept	header
src/gen/emit_dfa.c	6435	6446	12	12	1	anch_start	header
src/gen/emit_dfa.c	6563	6576	14	12	1	emit_anchored_entries	header
src/gen/emit_dfa.c	7524	7568	45	12	1	pcrec_emit_main	header
src/gen/emit_dfa.c	7732	7770	39	12	1	pcrec_emit_dfa_scan_stamps	header
src/gen/emit_vm.c	2120	2131	12	12	2	vm_alt_flatten	header
src/gen/emit_vm.c	3242	3255	14	12	2	vm_set	header
src/gen/emit_vm.c	3471	3482	12	12	2	vm_dyn_add	header
src/gen/emit_vm.c	3526	3537	12	12	1	vm_mrl_test	header
src/ir/dfa.c	904	917	14	12	2	dhash	header
src/ir/dfa.c	1160	1179	20	12	1	sides_of	header
src/opt/altcls.c	111	122	12	12	2	altcls_cat_flatten	header
src/opt/altcls.c	128	139	12	12	2	altcls_rebuild_cat	header
src/opt/atomic.c	399	410	12	12	2	ds_add	header
src/opt/lower_enc.c	234	245	12	12	2	u8_seq	header
src/opt/possessify.c	537	548	12	12	3	gk_link	header
src/opt/postresolve.c	106	117	12	12	2	pr_collect	header
src/opt/select_engine.c	423	434	12	12	1	why_text	header
src/parse/definitions.c	278	289	12	12	2	pcrec_def_text_hex	header
src/parse/definitions.c	295	306	12	12	2	pcrec_def_text_octal	header
src/parse/definitions.c	315	326	12	12	2	pcrec_def_text_unicode	header
src/parse/enabled.c	150	161	12	12	2	module_listed	header
src/parse/parse.c	586	613	28	12	1	pcrec_ast_class_from_bits	header
src/parse/registry.c	1702	1720	19	12	2	pcrec_registry	header
src/parse/rxt_source.c	152	163	12	12	2	line_class	header
src/parse/rxt_source.c	765	783	19	12	1	prose_value	header
src/parse/rxt_source.c	923	938	16	12	1	refuse_wave	header
src/parse/rxt_source.c	1471	1482	12	12	2	frame_field	header
