id	raw_n	min_n	frac0	T0	block0	closedfrac0	frac1	T1	block1	closedfrac1	frac2	T2	block2	closedfrac2	frac3	T3	block3	closedfrac3	frac4	T4	block4	closedfrac4	exceeds_final	max_exceed_ratio
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:630	35	2	0.10	4	4	0.000000	0.25	9	9	0.111111	0.50	18	18	0.055556	0.75	26	26	0.038462	1.00	35	2	1.000000	1	13.000
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:708	26	26	0.10	3	3	0.000000	0.25	7	7	0.000000	0.50	13	13	0.000000	0.75	20	20	0.000000	1.00	26	26	1.000000	0	0.000
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:745	34	34	0.10	3	3	0.000000	0.25	9	9	0.000000	0.50	17	17	0.000000	0.75	26	26	0.000000	1.00	34	34	1.000000	0	0.000
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:779	36	36	0.10	4	4	0.000000	0.25	9	9	0.000000	0.50	18	18	0.000000	0.75	27	27	0.000000	1.00	36	36	1.000000	0	0.000
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:815	36	20	0.10	4	4	0.000000	0.25	9	9	0.000000	0.50	18	18	0.000000	0.75	27	27	0.037037	1.00	36	20	1.000000	1	1.350
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:855	40	24	0.10	4	4	0.000000	0.25	10	10	0.000000	0.50	20	20	0.000000	0.75	30	30	0.033333	1.00	40	24	1.000000	1	1.250
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:891	35	20	0.10	4	4	0.000000	0.25	9	9	0.000000	0.50	18	18	0.000000	0.75	26	26	0.038462	1.00	35	20	1.000000	1	1.300
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:933	37	36	0.10	4	3	0.000000	0.25	9	8	0.000000	0.50	19	18	0.000000	0.75	28	27	0.000000	1.00	37	36	1.000000	0	0.000
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:991	52	51	0.10	5	4	0.000000	0.25	13	12	0.000000	0.50	26	25	0.000000	0.75	39	38	0.000000	1.00	52	51	1.000000	0	0.000
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:1054	14	2	0.10	1	1	0.000000	0.25	4	4	0.250000	0.50	7	7	0.142857	0.75	11	11	0.090909	1.00	14	2	1.000000	1	5.500
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:1099	2	2	0.10	1	1	0.000000	0.25	1	1	0.000000	0.50	1	1	0.000000	0.75	2	2	1.000000	1.00	2	2	1.000000	0	0.000
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:1149	2	2	0.10	1	1	0.000000	0.25	1	1	0.000000	0.50	1	1	0.000000	0.75	2	2	1.000000	1.00	2	2	1.000000	0	0.000
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:1259	110	2	0.10	11	11	0.090909	0.25	28	28	0.035714	0.50	55	55	0.018182	0.75	83	83	0.012048	1.00	110	2	1.000000	1	41.500
/Users/fdicostanzo/pcrec/worktrees/m1part/tests/counterk/counterk.rxt:1289	38	2	0.10	4	4	0.000000	0.25	10	10	0.100000	0.50	19	19	0.052632	0.75	29	29	0.034483	1.00	38	2	1.000000	1	14.500
