family	arm	round	load1	ns_per_call	ns_per_byte	hits	calls	checksum
B_sparse	base	1	0.39	36.462987	6.895508	495720	495740	805183781339006960
B_sparse	table	1	0.39	33.704870	6.373921	495720	495740	805183781339006960
B_sparse	rangecmp	1	0.39	36.233709	6.852150	495720	495740	805183781339006960
B_sparse	base	2	0.39	15.777286	2.983639	495720	495740	805183781339006960
B_sparse	table	2	0.39	31.460451	5.949480	495720	495740	805183781339006960
B_sparse	rangecmp	2	0.39	38.399135	7.261653	495720	495740	805183781339006960
B_sparse	base	3	0.39	35.098816	6.637530	495720	495740	805183781339006960
B_sparse	table	3	0.39	31.567886	5.969797	495720	495740	805183781339006960
B_sparse	rangecmp	3	0.39	40.325300	7.625909	495720	495740	805183781339006960
B_sparse	base	4	0.39	36.375824	6.879025	495720	495740	805183781339006960
B_sparse	table	4	0.39	30.454918	5.759324	495720	495740	805183781339006960
B_sparse	rangecmp	4	0.39	19.090880	3.610273	495720	495740	805183781339006960
B_sparse	base	5	0.39	15.800888	2.988103	495720	495740	805183781339006960
B_sparse	table	5	0.39	34.068570	6.442701	495720	495740	805183781339006960
B_sparse	rangecmp	5	0.39	19.087633	3.609658	495720	495740	805183781339006960
B_sparse	base	6	0.39	15.770551	2.982366	495720	495740	805183781339006960
B_sparse	table	6	0.39	34.009162	6.431466	495720	495740	805183781339006960
B_sparse	rangecmp	6	0.39	23.850181	4.510303	495720	495740	805183781339006960
B_sparse	base	7	0.39	35.160459	6.649187	495720	495740	805183781339006960
B_sparse	table	7	0.39	25.601434	4.841482	495720	495740	805183781339006960
B_sparse	rangecmp	7	0.39	35.273807	6.670623	495720	495740	805183781339006960
B_sparse	base	8	0.39	32.524384	6.150680	495720	495740	805183781339006960
B_sparse	table	8	0.39	14.277297	2.699977	495720	495740	805183781339006960
B_sparse	rangecmp	8	0.39	35.762754	6.763087	495720	495740	805183781339006960
B_sparse	base	9	0.39	31.792825	6.012335	495720	495740	805183781339006960
B_sparse	table	9	0.39	30.122786	5.696514	495720	495740	805183781339006960
B_sparse	rangecmp	9	0.39	39.183907	7.410061	495720	495740	805183781339006960
B_sparse	base	10	0.39	33.687299	6.370599	495720	495740	805183781339006960
B_sparse	table	10	0.39	31.542107	5.964922	495720	495740	805183781339006960
B_sparse	rangecmp	10	0.39	36.398195	6.883255	495720	495740	805183781339006960
B_sparse	base	11	0.39	31.553688	5.967112	495720	495740	805183781339006960
B_sparse	table	11	0.39	30.226086	5.716049	495720	495740	805183781339006960
B_sparse	rangecmp	11	0.39	38.257508	7.234870	495720	495740	805183781339006960
C_small	base	1	0.39	419.200546	1.455202	9080	9100	18095714327830636440
C_small	range	1	0.39	427.355606	1.483511	9080	9100	18095714327830636440
C_small	fold	1	0.39	376.800346	1.308015	9080	9100	18095714327830636440
C_small	base	2	0.39	386.740014	1.342519	9080	9100	18095714327830636440
C_small	range	2	0.39	400.760871	1.391191	9080	9100	18095714327830636440
C_small	fold	2	0.39	375.447575	1.303319	9080	9100	18095714327830636440
C_small	base	3	0.39	375.705838	1.304216	9080	9100	18095714327830636440
C_small	range	3	0.39	405.137908	1.406385	9080	9100	18095714327830636440
C_small	fold	3	0.39	378.490441	1.313882	9080	9100	18095714327830636440
C_small	base	4	0.39	372.509124	1.293119	9080	9100	18095714327830636440
C_small	range	4	0.39	372.207903	1.292073	9080	9100	18095714327830636440
C_small	fold	4	0.39	374.011189	1.298333	9080	9100	18095714327830636440
C_small	base	5	0.39	377.965165	1.312059	9080	9100	18095714327830636440
C_small	range	5	0.39	373.970661	1.298192	9080	9100	18095714327830636440
C_small	fold	5	0.39	375.193738	1.302438	9080	9100	18095714327830636440
C_small	base	6	0.39	372.918906	1.294541	9080	9100	18095714327830636440
C_small	range	6	0.39	374.895817	1.301404	9080	9100	18095714327830636440
C_small	fold	6	0.39	378.115712	1.312581	9080	9100	18095714327830636440
C_small	base	7	0.39	378.140990	1.312669	9080	9100	18095714327830636440
C_small	range	7	0.39	376.546484	1.307134	9080	9100	18095714327830636440
C_small	fold	7	0.39	373.963957	1.298169	9080	9100	18095714327830636440
C_small	base	8	0.39	375.121228	1.302186	9080	9100	18095714327830636440
C_small	range	8	0.39	413.632414	1.435873	9080	9100	18095714327830636440
C_small	fold	8	0.39	400.962078	1.391890	9080	9100	18095714327830636440
C_small	base	9	0.39	392.704829	1.363226	9080	9100	18095714327830636440
C_small	range	9	0.39	378.551975	1.314096	9080	9100	18095714327830636440
C_small	fold	9	0.39	382.510224	1.327836	9080	9100	18095714327830636440
C_small	base	10	0.39	369.908022	1.284089	9080	9100	18095714327830636440
C_small	range	10	0.39	375.348686	1.302976	9080	9100	18095714327830636440
C_small	fold	10	0.39	402.696052	1.397909	9080	9100	18095714327830636440
C_small	base	11	0.39	374.492637	1.300004	9080	9100	18095714327830636440
C_small	range	11	0.39	403.281864	1.399942	9080	9100	18095714327830636440
C_small	fold	11	0.39	370.487131	1.286100	9080	9100	18095714327830636440
D_n16	base	1	0.39	1154.645791	2.713248	6140	6160	17959240703874857728
D_n16	table	1	0.39	877.312669	2.061556	6140	6160	17959240703874857728
D_n16	atom	1	0.39	870.324008	2.045134	6140	6160	17959240703874857728
D_n16	base	2	0.39	1140.174837	2.679244	6140	6160	17959240703874857728
D_n16	table	2	0.39	876.023709	2.058527	6140	6160	17959240703874857728
D_n16	atom	2	0.39	870.228267	2.044909	6140	6160	17959240703874857728
D_n16	base	3	0.39	1156.412015	2.717399	6140	6160	17959240703874857728
D_n16	table	3	0.39	874.929556	2.055956	6140	6160	17959240703874857728
D_n16	atom	3	0.39	885.041739	2.079718	6140	6160	17959240703874857728
D_n16	base	4	0.39	1147.432954	2.696299	6140	6160	17959240703874857728
D_n16	table	4	0.39	890.859897	2.093390	6140	6160	17959240703874857728
D_n16	atom	4	0.39	920.640902	2.163371	6140	6160	17959240703874857728
D_n16	base	5	0.39	1147.134243	2.695597	6140	6160	17959240703874857728
D_n16	table	5	0.39	871.640446	2.048227	6140	6160	17959240703874857728
D_n16	atom	5	0.39	869.598188	2.043428	6140	6160	17959240703874857728
D_n16	base	6	0.39	645.846768	1.517645	6140	6160	17959240703874857728
D_n16	table	6	0.39	872.374354	2.049952	6140	6160	17959240703874857728
D_n16	atom	6	0.39	1064.601298	2.501657	6140	6160	17959240703874857728
D_n16	base	7	0.39	1405.290246	3.302226	6140	6160	17959240703874857728
D_n16	table	7	0.39	873.531817	2.052672	6140	6160	17959240703874857728
D_n16	atom	7	0.39	1069.307463	2.512716	6140	6160	17959240703874857728
D_n16	base	8	0.39	635.645460	1.493674	6140	6160	17959240703874857728
D_n16	table	8	0.39	876.439289	2.059504	6140	6160	17959240703874857728
D_n16	atom	8	0.39	481.214110	1.130783	6140	6160	17959240703874857728
D_n16	base	9	0.39	1394.023851	3.275752	6140	6160	17959240703874857728
D_n16	table	9	0.39	878.164957	2.063559	6140	6160	17959240703874857728
D_n16	atom	9	0.39	1065.838287	2.504564	6140	6160	17959240703874857728
D_n16	base	10	0.39	1156.485077	2.717571	6140	6160	17959240703874857728
D_n16	table	10	0.39	873.281826	2.052084	6140	6160	17959240703874857728
D_n16	atom	10	0.39	871.231480	2.047266	6140	6160	17959240703874857728
D_n16	base	11	0.39	1146.629386	2.694411	6140	6160	17959240703874857728
D_n16	table	11	0.39	485.621753	1.141140	6140	6160	17959240703874857728
D_n16	atom	11	0.39	886.483286	2.083106	6140	6160	17959240703874857728
